institute_id,institute_name,institute_fee,institute_reputation,institute_campus_job_placement_pct,institute_campus_area,score_cut_off,total_no_of_students,applied_no_of_students,declined_no_of_student_pct,accepted_no_of_student_pct
NINT775,Armstrong State University,164092.66,2.8,94.17,279.43,83.58,1450,12905,88.76,11.24
DNNN115,"University of California, San Diego (UC San Diego)",217111.61,7.6,82.71,240.3,87.13,1752,53344,96.72,3.28
MMAE266,University of Georgia (UGA),190898.24,7.2,77.37,262.25,78.51,3112,63036,95.06,4.94
NANA143,"University of California, Davis (UC Davis)",170373.32,4.1,75.98,265.18,78.69,2386,66018,96.39,3.61
SSNT733,"California State University, Fresno (Fresno State)",219291.08,3.6,74.34,220.99,84.61,4726,65656,92.80,7.20
NIDD150,College of Coastal Georgia,195044.28,5.3,53.71,330.21,83.76,2967,68695,95.68,4.32
TTTT763,"University of California, Santa Barbara (UC Santa Barbara)",248996.02,5.5,71.15,256.56,87.45,1962,43028,95.44,4.56
INND125,Florida Polytechnic University (Florida Poly or FPU),154759.58,5.8,52.23,250.13,77.74,3679,19678,81.30,18.70
REER261,"University of California, San Francisco (UCSF)",221892.47,9.9,58.89,191.27,88.45,2994,24853,87.95,12.05
DIII113,Westfield State University,239409.27,4.2,76.8,333.11,83.69,2918,21023,86.12,13.88
TINT732,Valdosta State University (VSU),204663.08,3.3,70.93,288.28,95.12,3254,55427,94.13,5.87
NAII193,"University of California, Berkeley (UC Berkeley)",193898.64,6.3,94.23,223.01,76.87,1657,40841,95.94,4.06
PANN474,"University of California, Santa Cruz (UC Santa Cruz)",167866.24,6.2,51.44,299.94,96.77,3350,25465,86.84,13.16
NIAN153,Atlanta Metropolitan State College,187761.33,6.0,85.99,214.29,84.76,4544,71883,93.68,6.32
MMER288,"University of California, San Francisco (UCSF)",221204.97,3.5,50.18,217.42,87.51,2194,39378,94.43,5.57
DIAA153,University of Kentucky (Kentucky or UK),180969.15,1.8,94.36,282.84,80.67,4678,13769,66.03,33.97
IGII609,"California State University, Chico (Chico State)",224984.78,4.4,85.31,159.78,97.74,3215,21668,85.16,14.84
DIND181,University of Massachusetts Amherst (UMass Amherst),159222.74,5.8,98.75,202.04,77.99,2392,23978,90.02,9.98
TIIT722,East Georgia State College,243450.91,8.7,66.78,278.68,77.46,2254,74104,96.96,3.04
ADAI200,University of Georgia (UGA),174747.83,7.0,64.19,209.59,75.54,4018,17273,76.74,23.26
EMER232,"California State University, Dominguez Hills (CSUDH)",169055.83,1.7,91.31,329.75,95.88,3849,55968,93.12,6.88
AAND192,Murray State University,178746.93,2.8,94.39,210.02,89.45,2053,11406,82.00,18.00
PJAJ433,University of Florida (UF),173438.6,9.1,87.1,266.82,86.43,4039,56104,92.80,7.20
IAAI200,"University of California, Davis (UC Davis)",156675.37,1.9,78.35,198.55,91.73,1942,33125,94.14,5.86
ISNT712,"California State University, East Bay (CSUEB)",155110.72,1.4,82.32,196.19,81.86,3663,28644,87.21,12.79
DIII197,Middle Georgia State University,193254.69,5.1,84.6,212.83,76.8,3902,63319,93.84,6.16
ERRE208,"University of California, Los Angeles (UCLA)",156429.37,3.1,63.59,211.42,95.58,1867,44280,95.78,4.22
DIAA191,New College of Florida,217978.11,7.1,58.26,217.16,91.6,4439,16064,72.37,27.63
SIST794,Georgia Gwinnett College,221085.8,6.6,73.56,258.96,75.62,1894,62801,96.98,3.02
IDNI141,College of Coastal Georgia,191901.4,7.2,63.66,248.16,86.97,2230,48909,95.44,4.56
IGTI699,University of Massachusetts Amherst (UMass Amherst),163270.66,7.7,94.73,278.85,89.91,3037,18502,83.59,16.41
DADN125,Gordon State College,197174.97,5.5,59.35,210.64,99.54,4594,72505,93.66,6.34
ARMA277,University of Florida (UF),197194.61,6.7,63.68,335.87,85.75,4365,46821,90.68,9.32
ANDD155,"California State University, Channel Islands (CSUCI or CI)",235254.63,6.6,92.03,204.72,92.1,4386,10726,59.11,40.89
TITI745,"California State University, Bakersfield (CSUB)",237286.04,9.3,93.37,211.35,97.36,1014,28264,96.41,3.59
IIDI128,"University of California, Santa Cruz (UC Santa Cruz)",151792.46,3.1,88.55,190.41,75.03,3473,66216,94.76,5.24
SNIN761,College of Coastal Georgia,226835.89,4.9,71.56,188.38,76.16,1581,72447,97.82,2.18
IDDD196,University of North Georgia (UNG),165096.18,8.5,78.88,345.69,96.61,2747,67623,95.94,4.06
ARRA294,New College of Florida,178164.6,4.7,58.24,278.2,96.86,1560,73245,97.87,2.13
DADN159,Atlanta Metropolitan State College,248902.55,6.0,88.39,342.58,81.79,3166,44893,92.95,7.05
ITTN773,University of West Florida (UWF),192785.88,6.6,96.37,343.57,92.99,3448,15952,78.39,21.61
IIAI198,Atlanta Metropolitan State College,166834.5,2.8,68.39,179.64,76.21,2938,50619,94.20,5.80
NPNP471,"University of California, Davis (UC Davis)",165826.3,7.6,66.86,169.23,88.85,3624,27212,86.68,13.32
NNAN126,Abraham Baldwin Agricultural College,239111.7,8.6,56.57,192.93,75.83,2200,55924,96.07,3.93
MMEA242,"California State University, Dominguez Hills (CSUDH)",202038.03,1.2,95.03,335.7,83.31,3661,14913,75.45,24.55
DINN163,Gordon State College,222019.09,2.3,84.22,175.01,98.48,2249,50121,95.51,4.49
IITT734,University of Massachusetts Dartmouth (UMass Dartmouth),221014.99,9.6,76.46,194.55,87.02,4532,57400,92.10,7.90
AIDI171,"University of California, Merced (UC Merced)",175360.52,3.9,73.87,265.92,86.74,3561,48965,92.73,7.27
SNST771,Massachusetts College of Art and Design (MassArt),219536.02,7.6,65.38,201.79,86.91,4009,21524,81.37,18.63
ANIA197,Armstrong State University,185738.47,3.8,51.05,209.39,77.33,4146,67073,93.82,6.18
AEEE234,Savannah State University,244869.84,2.6,62.99,261.28,90.3,3923,63940,93.86,6.14
DADN147,Western Kentucky University (WKU),175879.16,6.9,75.39,339.81,99.77,2896,33030,91.23,8.77
NJPN479,Valdosta State University (VSU),229373.39,5.2,62.9,277.22,99.64,1773,64973,97.27,2.73
NADD183,Georgia State University (GSU),220992.2,9.2,59.64,255.03,77.06,2858,57043,94.99,5.01
SSTS716,Georgia Southern University,224179.16,1.2,93.48,161.37,91.06,1963,26315,92.54,7.46
NAND200,Northern Kentucky University (NKU),152394.21,8.9,57.59,161.79,93.3,3310,58399,94.33,5.67
EMMM239,Georgia Southwestern State University (GSW),232720.41,1.9,99.36,339.89,87.03,4211,34298,87.72,12.28
AIND105,Atlanta Metropolitan State College,174920.39,6.7,56.07,154.78,88.15,1711,15926,89.26,10.74
IIIT620,"University of California, Riverside (UC Riverside)",176347.73,4.9,68.63,167.86,76.73,2504,38518,93.50,6.50
AAIN149,"University of California, Merced (UC Merced)",153136.66,6.1,91.59,330.63,96.16,1438,66215,97.83,2.17
SNNI764,Florida Atlantic University (FAU),211749.52,8.4,90.64,259.37,82.41,2520,67448,96.26,3.74
DINA161,Westfield State University,175125.36,5.8,60.2,243.12,76.52,3038,38138,92.03,7.97
RRMR251,Central Connecticut State University (CCSU),210036.85,8.7,60.95,177.16,81.96,4172,71146,94.14,5.86
NDII130,Florida International University (FIU),156086.08,4.1,68.16,294.49,78.98,3909,22503,82.63,17.37
ISNI752,"University of California, Davis (UC Davis)",210056.06,2.6,85.17,341.76,99.45,4738,25362,81.32,18.68
IDAI137,University of Massachusetts Lowell (UMass Lowell),176541.36,4.9,70.69,216.15,94.48,3717,53896,93.10,6.90
ITIN734,"California State University, Fullerton (Fullerton, CSUF, Cal State Fullerton)",160825.91,4.1,99.13,347.61,94.54,2490,35811,93.05,6.95
DANI121,Kentucky State University,238664.06,8.7,72.14,277.78,83.76,2407,49367,95.12,4.88
MRMM249,Kennesaw State University,170242.84,5.7,72.2,228.83,90.34,1994,68707,97.10,2.90
IDAD129,Abraham Baldwin Agricultural College,162104.37,3.9,86.21,244.1,81.88,3219,64822,95.03,4.97
TTSN774,Georgia Southern University,245935.87,9.4,68.29,269.26,91.09,2460,59474,95.86,4.14
NADN132,"University of California, Davis (UC Davis)",209645.87,7.3,90.21,318.36,79.01,2182,36584,94.04,5.96
PAAP459,Florida Gulf Coast University (FGCU),244549.75,3.0,80.79,210.98,88.82,4730,15767,70.00,30.00
NIIA106,Savannah State University,150619.11,9.2,70.31,286.34,78.92,1687,11824,85.73,14.27
ARME282,Florida International University (FIU),208440.25,1.2,96.3,218.39,97.46,4324,41607,89.61,10.39
IDIA160,New College of Florida,193014.49,5.9,79.32,319.51,75.53,4427,67825,93.47,6.53
SNTI730,"University of California, Irvine (UC Irvine)",175910.18,5.7,67.36,198.32,78.53,3490,63933,94.54,5.46
ADAI184,"University of California, Berkeley (UC Berkeley)",163039.01,5.4,91.57,277.22,79.77,4619,71013,93.50,6.50
TNIT792,"California State University, Fullerton (Fullerton, CSUF, Cal State Fullerton)",173151.91,6.1,51.88,262.28,94.39,1241,59481,97.91,2.09
NDNA163,"University of California, Riverside (UC Riverside)",232020.66,4.0,69.19,320.77,90.66,2354,59607,96.05,3.95
REMA218,University of West Georgia (UWG),208757.54,7.0,78.2,200.97,77.37,1077,20826,94.83,5.17
DDDD128,Atlanta Metropolitan State College,246587.77,3.5,78.4,202.58,77.87,4408,51198,91.39,8.61
NNPA452,Bainbridge State College,181300.13,6.4,69.37,298.68,96.84,2155,65816,96.73,3.27
DIDD147,Framingham State University,232862.87,3.4,60.93,173.73,92.06,4062,22115,81.63,18.37
SINI750,Bainbridge State College,239229.01,5.6,89.53,217.79,81.09,4353,58274,92.53,7.47
IDDD176,"California State University, Channel Islands (CSUCI or CI)",203081.12,5.5,54.95,313.58,91.71,2479,45626,94.57,5.43
ARRA202,Westfield State University,229206.83,7.5,65.95,274.28,81.17,3269,42304,92.27,7.73
NIAA167,"University of California, Riverside (UC Riverside)",156627.94,7.9,61.03,229.35,98.98,1507,62572,97.59,2.41
STTN774,"California State University, Dominguez Hills (CSUDH)",210184.08,7.2,58.55,195.9,76.83,2158,68511,96.85,3.15
NAAI101,Fort Valley State University,183785.11,2.5,54.49,275.69,94.8,1046,68094,98.46,1.54
SSSN701,"University of California, Los Angeles (UCLA)",159826.07,8.9,79.16,184.8,88.19,1957,68697,97.15,2.85
IAAN101,University of Georgia (UGA),171144.62,7.4,83.1,196.11,98.05,3315,33372,90.07,9.93
MRER288,East Georgia State College,205923.97,2.2,69.42,193.62,98.73,2284,18030,87.33,12.67
ANNI133,Westfield State University,202104.32,8.7,74.28,188.67,92.12,4526,13630,66.79,33.21
TNII778,Bridgewater State University,185151.75,3.0,84.14,231.5,93.69,2267,45436,95.01,4.99
NDAD130,Bridgewater State University,183428.42,2.0,57.82,349.33,87.74,4600,24946,81.56,18.44
INTS772,Florida A&M University (Florida A&M),213390.63,8.5,68.5,252.57,82.72,3961,16264,75.65,24.35
IDDD133,Kennesaw State University,153004.74,8.3,54.13,316.42,95.31,2895,54851,94.72,5.28
EEMR257,Kentucky State University,181283.36,6.7,68.94,246.65,96.48,3119,15516,79.90,20.10
ADDD138,Georgia Highlands College,244305.87,3.7,82.18,161.48,97.65,1615,11499,85.96,14.04
ITGG655,Dalton State College,214089.38,9.6,65.55,234.3,77.02,1701,63881,97.34,2.66
IAID194,Florida Atlantic University (FAU),207823.22,2.4,53.41,335.14,78.24,2498,52371,95.23,4.77
JPNP493,Columbus State University,158537.89,2.6,67.78,212.61,88.47,2876,43600,93.40,6.60
ADAA122,"California State University, Fullerton (Fullerton, CSUF, Cal State Fullerton)",181975.88,2.7,50.29,338.52,78.55,3516,66171,94.69,5.31
MAEE220,Florida State University (FSU),237466.11,2.7,92.55,193.73,87.47,3152,55096,94.28,5.72
AADI146,Florida A&M University (Florida A&M),233655.2,9.3,64.81,175.36,78.67,1710,62905,97.28,2.72
ITNI734,Florida International University (FIU),167970.02,6.6,90.71,194.72,87.79,2214,59620,96.29,3.71
AAAN176,"California State University, Fullerton (Fullerton, CSUF, Cal State Fullerton)",177204.31,7.2,73.11,189.91,99.93,1985,34104,94.18,5.82
TTII768,"University of California, Davis (UC Davis)",204148.82,3.8,65.87,185.97,95.05,4466,49100,90.90,9.10
DIND191,Middle Georgia State University,207026.63,3.9,86.63,264.87,97.71,4679,32049,85.40,14.60
EAEA300,Dalton State College,239824.69,3.1,73.42,212.45,75.45,4270,74057,94.23,5.77
INAA166,"University of California, Santa Barbara (UC Santa Barbara)",220517.58,1.3,63.22,233.71,87.67,3358,63317,94.70,5.30
ANAP467,University of Massachusetts Medical School,245884.8,6.9,78.29,158.95,81.86,1144,62098,98.16,1.84
NDIN145,"California State University, Channel Islands (CSUCI or CI)",178722.83,3.3,51.09,236.74,78.05,4361,67407,93.53,6.47
TIII643,"University of California, Los Angeles (UCLA)",151632.08,3.4,53.14,294.17,90.81,2408,65449,96.32,3.68
IIAD173,University of Massachusetts Amherst (UMass Amherst),173120.69,5.9,79.71,193.71,99.45,1457,50583,97.12,2.88
AREA273,Georgia Southern University,173356.13,5.0,58.62,296.69,92.02,2029,10211,80.13,19.87
NADD163,"University of California, San Francisco (UCSF)",226653.11,7.5,86.28,308.03,77.12,1844,14585,87.36,12.64
SNSI705,Eastern Connecticut State University (ECSU),227823.72,5.3,92.62,189.64,83.49,3748,69416,94.60,5.40
IDND137,Albany State University,226376.79,2.9,67.1,209.04,77.16,1673,43186,96.13,3.87
INTT720,Abraham Baldwin Agricultural College,228052.36,2.5,95.53,162.27,86.0,2176,48982,95.56,4.44
NDID187,"University of California, Santa Cruz (UC Santa Cruz)",219772.5,9.8,92.66,318.74,96.66,4406,58724,92.50,7.50
EMMM252,"University of California, Santa Cruz (UC Santa Cruz)",194088.78,8.3,77.03,202.38,85.79,2510,63657,96.06,3.94
DANI130,Abraham Baldwin Agricultural College,207463.96,5.0,61.83,346.47,92.84,4291,25304,83.04,16.96
SNIS714,Florida A&M University (Florida A&M),230510.4,3.2,81.46,275.03,81.6,2214,48993,95.48,4.52
DDAI136,Florida Polytechnic University (Florida Poly or FPU),223068.34,2.7,72.76,278.91,79.09,1599,22213,92.80,7.20
STTN795,University of Central Florida (UCF),165294.92,1.2,90.85,184.03,90.63,4152,35828,88.41,11.59
DDAI166,Central Connecticut State University (CCSU),201121.63,9.2,53.83,204.29,95.35,2268,54655,95.85,4.15
MMER246,Eastern Connecticut State University (ECSU),151581.7,3.6,55.22,179.09,79.45,2129,39305,94.58,5.42
DNDI145,Morehead State University,246916.19,7.3,53.12,234.01,92.97,4632,23660,80.42,19.58
SITI782,"University of California, Los Angeles (UCLA)",198137.23,9.0,92.51,177.94,81.0,4061,40299,89.92,10.08
DDAA138,Western Kentucky University (WKU),221894.28,8.0,65.38,279.29,77.71,2707,51403,94.73,5.27
ANPA497,University of North Georgia (UNG),151455.85,1.2,84.33,287.9,76.66,3217,20232,84.10,15.90
IIDN109,Worcester State University,246030.86,2.6,66.07,255.93,88.16,2313,51658,95.52,4.48
MRAR246,Bridgewater State University,195209.59,2.4,55.9,179.27,98.67,3070,40470,92.41,7.59
NDNN118,Westfield State University,227108.04,8.1,61.84,336.03,75.84,2817,34339,91.80,8.20
NNII710,Massachusetts Maritime Academy,249252.05,3.8,75.1,222.11,93.68,3761,35937,89.53,10.47
NNAA184,Florida A&M University (Florida A&M),160267.58,8.8,92.34,176.3,97.63,4476,65602,93.18,6.82
ISII792,University of West Florida (UWF),219803.95,3.4,56.8,157.8,85.48,4046,27189,85.12,14.88
NIAN111,"California State University, Bakersfield (CSUB)",238726.03,8.7,56.48,259.9,99.56,1583,59258,97.33,2.67
AERA233,"University of California, Santa Barbara (UC Santa Barbara)",186486.96,8.8,63.75,310.54,98.95,1806,40233,95.51,4.49
DIII177,College of Coastal Georgia,204851.92,5.0,70.33,178.79,90.55,2524,64399,96.08,3.92
AAAN490,University of Central Florida (UCF),165857.14,5.0,77.62,170.2,96.82,3948,50818,92.23,7.77
INID161,"University of California, Riverside (UC Riverside)",183206.0,8.8,67.74,338.4,83.37,2510,58748,95.73,4.27
ISSN722,Clayton State University,192360.75,2.9,55.34,222.62,78.9,3866,25879,85.06,14.94
DNNN163,New College of Florida,191954.52,9.8,60.52,235.73,96.86,3615,22939,84.24,15.76
EERA205,Massachusetts College of Art and Design (MassArt),234573.15,5.3,51.04,268.71,93.25,1508,10949,86.23,13.77
IAAI190,Middle Georgia State University,213926.38,5.6,90.03,212.32,97.93,3939,53619,92.65,7.35
ISTS796,Clayton State University,199472.06,4.2,63.02,222.7,78.05,3767,57562,93.46,6.54
