loan_id,customer_id,loan_type,principal_amount,interest_rate,term_month,start_date,end_date
1001128,96210,Business,973607.63,10.2,113,2019-09-30 23:15:41.642873,2029-01-10 23:15:41.642873
1001176,626384,Personal,1934465.26,7.89,79,2017-07-16 23:15:41.642873,2024-01-11 23:15:41.642873
1001225,483812,Personal,1901924.67,13.75,88,2015-01-08 23:15:41.642873,2022-04-01 23:15:41.642873
1001275,72534,Housing,1367344.97,10.41,91,2024-04-18 23:15:41.642873,2031-10-09 23:15:41.642873
1001326,313286,Business,781422.75,11.98,71,2019-11-10 23:15:41.642873,2025-09-09 23:15:41.642873
1001378,786418,Vehicle,1416857.48,7.78,104,2013-10-23 23:15:41.642873,2022-05-09 23:15:41.642873
1001431,313789,Personal,1594136.24,15.36,98,2015-07-14 23:15:41.642873,2023-08-01 23:15:41.642873
1001485,488704,Personal,573782.69,15.73,78,2024-03-22 23:15:41.642873,2030-08-18 23:15:41.642873
1001540,993796,Education,1081478.63,7.62,111,2017-04-08 23:15:41.642873,2026-05-21 23:15:41.642873
1001596,78078,Housing,1215908.55,15.06,74,2015-07-24 23:15:41.642873,2021-08-21 23:15:41.642873
1001653,764010,Business,861048.53,15.43,102,2018-05-02 23:15:41.642873,2026-09-17 23:15:41.642873
1001711,31391,Vehicle,828644.94,9.94,39,2013-04-18 23:15:41.642873,2016-07-01 23:15:41.642873
1001770,552061,Personal,1468035.99,12.09,85,2014-12-06 23:15:41.642873,2021-11-29 23:15:41.642873
1001830,573974,Personal,895869.0,15.59,78,2015-07-15 23:15:41.642873,2021-12-10 23:15:41.642873
1001891,557840,Vehicle,1305442.57,11.89,111,2024-08-12 23:15:41.642873,2033-09-24 23:15:41.642873
1001953,116687,Vehicle,1663187.29,7.86,113,2014-11-03 23:15:41.642873,2024-02-14 23:15:41.642873
1002016,742916,Personal,616465.36,9.67,50,2023-04-11 23:15:41.642873,2027-05-20 23:15:41.642873
1002080,60771,Housing,1003466.56,14.25,90,2015-01-14 23:15:41.642873,2022-06-06 23:15:41.642873
1002145,225342,Education,1869630.11,8.33,91,2017-09-19 23:15:41.642873,2025-03-11 23:15:41.642873
1002211,388973,Business,684316.67,9.89,86,2013-10-15 23:15:41.642873,2020-11-07 23:15:41.642873
1002278,782452,Business,1470412.0,13.79,69,2016-01-22 23:15:41.642873,2021-09-22 23:15:41.642873
1002346,671672,Education,1893671.67,11.91,114,2013-02-13 23:15:41.642873,2022-06-26 23:15:41.642873
1002415,208487,Housing,571081.29,11.1,63,2013-07-08 23:15:41.642873,2018-09-10 23:15:41.642873
1002485,398096,Education,935392.33,7.73,115,2022-07-21 23:15:41.642873,2031-12-31 23:15:41.642873
1002556,661373,Housing,537803.29,11.6,72,2019-05-20 23:15:41.642873,2025-04-18 23:15:41.642873
1002628,894132,Business,1715921.6,10.02,85,2014-10-08 23:15:41.642873,2021-10-01 23:15:41.642873
1002701,131407,Education,1081505.69,11.63,64,2014-08-21 23:15:41.642873,2019-11-23 23:15:41.642873
1002775,197110,Housing,833714.58,7.88,93,2023-02-22 23:15:41.642873,2030-10-13 23:15:41.642873
1002850,609770,Education,1054542.56,15.31,108,2019-05-06 23:15:41.642873,2028-03-19 23:15:41.642873
1002926,62919,Personal,646471.24,9.6,116,2023-12-27 23:15:41.642873,2033-07-07 23:15:41.642873
1003003,342026,Personal,1334360.17,10.34,70,2019-12-02 23:15:41.642873,2025-09-01 23:15:41.642873
1003081,936785,Housing,1496514.94,13.43,38,2015-05-05 23:15:41.642873,2018-06-18 23:15:41.642873
1003160,584473,Education,1561623.69,12.07,70,2018-12-04 23:15:41.642873,2024-09-03 23:15:41.642873
1003240,428739,Education,1799140.29,15.61,115,2021-10-11 23:15:41.642873,2031-03-23 23:15:41.642873
1003321,826156,Housing,1624802.08,10.17,102,2017-04-04 23:15:41.642873,2025-08-20 23:15:41.642873
1003403,825599,Vehicle,1973305.58,13.93,68,2020-01-07 23:15:41.642873,2025-08-08 23:15:41.642873
1003486,425551,Education,1978214.85,11.98,89,2017-02-25 23:15:41.642873,2024-06-18 23:15:41.642873
1003570,375559,Business,1526868.41,14.38,87,2020-03-30 23:15:41.642873,2027-05-23 23:15:41.642873
1003655,722125,Education,963997.69,7.6,112,2019-06-23 23:15:41.642873,2028-09-03 23:15:41.642873
1003741,412576,Personal,963200.23,10.88,67,2022-02-17 23:15:41.642873,2027-08-20 23:15:41.642873
1003828,407715,Personal,915923.26,7.63,38,2017-06-18 23:15:41.642873,2020-08-01 23:15:41.642873
1003916,131903,Housing,1988363.64,7.69,43,2013-07-04 23:15:41.642873,2017-01-14 23:15:41.642873
1004005,746249,Business,506391.61,12.02,47,2016-11-04 23:15:41.642873,2020-09-14 23:15:41.642873
1004095,978246,Vehicle,1808333.33,10.51,41,2016-07-30 23:15:41.642873,2019-12-12 23:15:41.642873
1004186,190082,Personal,1185056.09,10.42,67,2013-06-01 23:15:41.642873,2018-12-02 23:15:41.642873
1004278,505916,Vehicle,831693.78,15.68,93,2016-04-22 23:15:41.642873,2023-12-12 23:15:41.642873
1004371,39345,Vehicle,982077.75,14.63,71,2016-03-08 23:15:41.642873,2022-01-06 23:15:41.642873
1004465,483285,Business,559903.71,8.73,59,2020-04-23 23:15:41.642873,2025-02-26 23:15:41.642873
1004560,626610,Vehicle,1718819.37,11.25,41,2022-05-25 23:15:41.642873,2025-10-06 23:15:41.642873
1004656,588101,Vehicle,664191.16,8.19,107,2023-04-21 23:15:41.642873,2032-02-03 23:15:41.642873
1004753,830294,Personal,1383918.86,10.27,64,2018-09-16 23:15:41.642873,2023-12-19 23:15:41.642873
1004851,356863,Vehicle,523021.21,10.45,106,2016-01-22 23:15:41.642873,2024-10-06 23:15:41.642873
1004950,755632,Education,1846277.91,15.21,97,2022-08-14 23:15:41.642873,2030-08-02 23:15:41.642873
1005050,24744,Housing,1248420.13,7.63,81,2013-09-17 23:15:41.642873,2020-05-13 23:15:41.642873
1005151,741486,Vehicle,1538255.67,10.77,73,2018-07-30 23:15:41.642873,2024-07-28 23:15:41.642873
1005253,392983,Personal,642855.36,9.84,89,2016-02-19 23:15:41.642873,2023-06-12 23:15:41.642873
1005356,130157,Personal,1670601.89,13.96,85,2021-08-11 23:15:41.642873,2028-08-04 23:15:41.642873
1005460,960999,Housing,1105187.06,15.59,113,2020-03-26 23:15:41.642873,2029-07-07 23:15:41.642873
1005565,89538,Housing,1896014.18,7.99,87,2024-08-03 23:15:41.642873,2031-09-26 23:15:41.642873
1005671,672242,Housing,605792.11,15.18,114,2014-09-07 23:15:41.642873,2024-01-18 23:15:41.642873
1005778,472518,Personal,1842226.88,8.4,77,2014-07-11 23:15:41.642873,2020-11-06 23:15:41.642873
1005886,338236,Personal,947651.99,7.74,54,2014-05-18 23:15:41.642873,2018-10-24 23:15:41.642873
1005995,762224,Housing,1689941.28,9.95,36,2021-09-10 23:15:41.642873,2024-08-25 23:15:41.642873
1006105,460545,Personal,1497227.19,14.26,54,2022-06-08 23:15:41.642873,2026-11-14 23:15:41.642873
1006216,253189,Housing,1068167.47,9.04,67,2022-07-17 23:15:41.642873,2028-01-17 23:15:41.642873
1006328,908711,Personal,777230.88,9.21,58,2021-01-25 23:15:41.642873,2025-10-31 23:15:41.642873
1006441,690661,Housing,1467206.54,12.45,89,2018-01-11 23:15:41.642873,2025-05-04 23:15:41.642873
1006555,683826,Education,1792131.87,12.21,88,2019-07-18 23:15:41.642873,2026-10-09 23:15:41.642873
1006670,704752,Education,1159471.15,11.67,69,2018-05-10 23:15:41.642873,2024-01-09 23:15:41.642873
1006786,402847,Business,1246227.35,13.86,46,2014-05-20 23:15:41.642873,2018-02-28 23:15:41.642873
1006903,108695,Personal,1786691.75,10.53,60,2014-07-25 23:15:41.642873,2019-06-29 23:15:41.642873
1007021,397269,Personal,967058.84,9.18,39,2014-01-15 23:15:41.642873,2017-03-30 23:15:41.642873
1007140,168933,Housing,1511706.61,7.7,110,2023-05-05 23:15:41.642873,2032-05-17 23:15:41.642873
1007260,841698,Personal,1300716.59,14.59,114,2022-01-24 23:15:41.642873,2031-06-06 23:15:41.642873
1007381,609599,Housing,1546519.45,8.53,106,2018-12-15 23:15:41.642873,2027-08-30 23:15:41.642873
1007503,259933,Housing,1011653.48,10.36,105,2021-02-18 23:15:41.642873,2029-10-04 23:15:41.642873
1007626,738863,Personal,521512.57,13.47,85,2017-09-02 23:15:41.642873,2024-08-26 23:15:41.642873
1007750,87977,Business,921508.09,10.0,83,2024-01-29 23:15:41.642873,2030-11-23 23:15:41.642873
1007875,328718,Business,1710911.84,12.89,114,2016-10-10 23:15:41.642873,2026-02-20 23:15:41.642873
1008001,25038,Vehicle,1949882.27,11.39,66,2018-05-10 23:15:41.642873,2023-10-11 23:15:41.642873
1008128,977650,Personal,664132.43,11.71,42,2019-10-15 23:15:41.642873,2023-03-28 23:15:41.642873
1008256,295390,Education,909692.19,10.75,109,2019-10-06 23:15:41.642873,2028-09-18 23:15:41.642873
1008385,971736,Business,985197.39,8.78,51,2015-07-13 23:15:41.642873,2019-09-20 23:15:41.642873
1008515,300377,Business,1623474.65,11.0,119,2024-09-14 23:15:41.642873,2034-06-24 23:15:41.642873
1008646,38912,Housing,1972202.04,7.94,82,2017-07-14 23:15:41.642873,2024-04-08 23:15:41.642873
1008778,569258,Vehicle,989384.75,10.91,49,2018-01-07 23:15:41.642873,2022-01-16 23:15:41.642873
1008911,284703,Business,1322182.99,10.97,56,2017-07-14 23:15:41.642873,2022-02-18 23:15:41.642873
1009045,440578,Education,1767969.17,15.62,99,2021-02-06 23:15:41.642873,2029-03-26 23:15:41.642873
1009180,942181,Housing,1373901.76,7.63,115,2022-06-29 23:15:41.642873,2031-12-09 23:15:41.642873
1009316,377903,Vehicle,732993.34,14.72,72,2019-10-02 23:15:41.642873,2025-08-31 23:15:41.642873
1009453,709322,Housing,1063596.65,13.27,56,2015-05-17 23:15:41.642873,2019-12-22 23:15:41.642873
1009591,20322,Business,969577.95,12.05,99,2019-09-10 23:15:41.642873,2027-10-28 23:15:41.642873
1009730,215125,Housing,1109500.37,10.2,52,2019-12-07 23:15:41.642873,2024-03-15 23:15:41.642873
1009870,160454,Personal,1441691.5,8.24,95,2024-08-04 23:15:41.642873,2032-05-24 23:15:41.642873
1010011,760546,Business,1666470.34,14.89,58,2023-12-02 23:15:41.642873,2028-09-06 23:15:41.642873
1010153,673673,Business,1303174.99,14.23,60,2013-04-07 23:15:41.642873,2018-03-12 23:15:41.642873
1010296,833699,Business,1408846.22,14.6,88,2021-10-13 23:15:41.642873,2029-01-04 23:15:41.642873
1010440,221656,Personal,963066.63,7.87,79,2021-10-03 23:15:41.642873,2028-03-30 23:15:41.642873
1010585,302274,Housing,1073846.37,9.58,69,2019-04-07 23:15:41.642873,2024-12-06 23:15:41.642873
1010731,14665,Education,1941598.45,15.64,108,2020-01-13 23:15:41.642873,2028-11-26 23:15:41.642873
1010878,106625,Education,1256810.12,10.28,118,2022-10-17 23:15:41.642873,2032-06-26 23:15:41.642873
1011026,486352,Vehicle,780977.63,10.92,51,2016-12-25 23:15:41.642873,2021-03-04 23:15:41.642873
1011175,841880,Housing,1955234.4,12.17,109,2016-01-04 23:15:41.642873,2024-12-17 23:15:41.642873
1011325,39071,Vehicle,840727.22,10.14,119,2019-03-20 23:15:41.642873,2028-12-27 23:15:41.642873
1011476,998313,Business,1506492.2,9.16,79,2024-07-05 23:15:41.642873,2030-12-31 23:15:41.642873
1011628,348440,Vehicle,908207.37,13.07,70,2024-07-22 23:15:41.642873,2030-04-22 23:15:41.642873
1011781,315607,Personal,638057.15,12.51,100,2020-08-09 23:15:41.642873,2028-10-26 23:15:41.642873
1011935,917605,Business,692258.24,14.1,93,2016-06-12 23:15:41.642873,2024-02-01 23:15:41.642873
1012090,441524,Vehicle,538462.18,7.53,90,2015-12-24 23:15:41.642873,2023-05-16 23:15:41.642873
1012246,797669,Business,1719856.2,12.3,105,2019-04-15 23:15:41.642873,2027-11-29 23:15:41.642873
1012403,894186,Business,647991.01,14.26,68,2019-12-18 23:15:41.642873,2025-07-19 23:15:41.642873
1012561,198764,Business,1997976.06,12.95,42,2016-07-23 23:15:41.642873,2020-01-04 23:15:41.642873
1012720,918385,Personal,930714.45,10.67,67,2020-02-28 23:15:41.642873,2025-08-30 23:15:41.642873
1012880,644009,Vehicle,764570.21,12.59,53,2014-11-20 23:15:41.642873,2019-03-29 23:15:41.642873
1013041,322287,Vehicle,745051.02,13.66,62,2016-01-13 23:15:41.642873,2021-02-15 23:15:41.642873
1013203,156990,Personal,841278.95,8.38,91,2014-05-21 23:15:41.642873,2021-11-10 23:15:41.642873
1013366,378378,Business,1496950.64,8.51,61,2017-04-06 23:15:41.642873,2022-04-10 23:15:41.642873
1013530,865580,Business,944558.53,8.31,48,2022-06-06 23:15:41.642873,2026-05-16 23:15:41.642873
1013695,700727,Education,804745.32,15.18,94,2013-05-19 23:15:41.642873,2021-02-06 23:15:41.642873
1013861,671350,Business,768201.16,13.05,48,2017-05-25 23:15:41.642873,2021-05-04 23:15:41.642873
1014028,745266,Housing,805920.04,9.84,49,2022-03-29 23:15:41.642873,2026-04-07 23:15:41.642873
1014196,189491,Business,1667391.01,11.51,108,2021-06-27 23:15:41.642873,2030-05-11 23:15:41.642873
1014365,681624,Education,1917045.99,15.58,52,2022-10-05 23:15:41.642873,2027-01-12 23:15:41.642873
1014535,231127,Housing,1442440.34,8.68,59,2023-11-10 23:15:41.642873,2028-09-14 23:15:41.642873
1014706,21625,Education,1411750.99,15.35,97,2013-07-15 23:15:41.642873,2021-07-03 23:15:41.642873
1014878,436023,Vehicle,1856647.51,7.55,119,2024-07-04 23:15:41.642873,2034-04-13 23:15:41.642873
1015051,239432,Housing,1204918.65,13.51,91,2019-10-28 23:15:41.642873,2027-04-19 23:15:41.642873
1015225,125732,Business,815250.97,14.97,98,2016-09-19 23:15:41.642873,2024-10-07 23:15:41.642873
1015400,772534,Housing,1703660.34,9.67,120,2024-08-26 23:15:41.642873,2034-07-05 23:15:41.642873
1015576,977678,Housing,1101347.2,13.75,84,2022-12-27 23:15:41.642873,2029-11-20 23:15:41.642873
1015753,476329,Business,505285.47,15.44,56,2019-08-19 23:15:41.642873,2024-03-25 23:15:41.642873
1015931,559465,Education,765620.89,9.47,38,2024-05-18 23:15:41.642873,2027-07-02 23:15:41.642873
1016110,584384,Personal,734714.04,12.25,47,2014-05-13 23:15:41.642873,2018-03-23 23:15:41.642873
1016290,550508,Personal,1097085.84,13.64,81,2015-06-03 23:15:41.642873,2022-01-27 23:15:41.642873
1016471,570062,Education,529590.46,13.67,85,2018-04-22 23:15:41.642873,2025-04-15 23:15:41.642873
1016653,14165,Personal,1071231.41,9.0,66,2017-05-25 23:15:41.642873,2022-10-26 23:15:41.642873
1016836,657978,Housing,860450.02,11.67,99,2013-08-18 23:15:41.642873,2021-10-05 23:15:41.642873
1017020,202504,Vehicle,1150090.29,8.27,88,2016-01-17 23:15:41.642873,2023-04-10 23:15:41.642873
1017205,188885,Business,1467212.94,13.31,51,2014-04-06 23:15:41.642873,2018-06-14 23:15:41.642873
1017391,399573,Housing,947443.28,11.32,89,2019-11-05 23:15:41.642873,2027-02-26 23:15:41.642873
1017578,238563,Personal,1123268.36,12.3,38,2022-07-09 23:15:41.642873,2025-08-22 23:15:41.642873
1017766,839192,Personal,1763369.12,11.26,107,2017-02-09 23:15:41.642873,2025-11-24 23:15:41.642873
1017955,941877,Education,1506665.58,10.8,101,2024-09-03 23:15:41.642873,2032-12-20 23:15:41.642873
1018145,987557,Housing,1216950.12,13.72,112,2021-08-23 23:15:41.642873,2030-11-04 23:15:41.642873
1018336,166447,Personal,965610.35,10.54,98,2020-10-05 23:15:41.642873,2028-10-23 23:15:41.642873
1018528,985588,Housing,1338941.23,9.51,113,2017-07-29 23:15:41.642873,2026-11-09 23:15:41.642873
1018721,283999,Education,920565.05,8.61,62,2017-01-31 23:15:41.642873,2022-03-06 23:15:41.642873
1018915,803753,Housing,598820.14,9.46,101,2018-06-05 23:15:41.642873,2026-09-21 23:15:41.642873
1019110,138233,Housing,1628124.68,12.73,88,2017-10-15 23:15:41.642873,2025-01-06 23:15:41.642873
1019306,688834,Personal,1959227.5,14.45,55,2018-08-04 23:15:41.642873,2023-02-09 23:15:41.642873
1019503,604988,Education,505320.23,8.29,60,2017-05-18 23:15:41.642873,2022-04-22 23:15:41.642873
1019701,158865,Business,671455.08,7.52,50,2014-02-01 23:15:41.642873,2018-03-12 23:15:41.642873
1019900,583252,Housing,863083.42,13.92,52,2015-04-15 23:15:41.642873,2019-07-23 23:15:41.642873
1020100,920045,Business,651065.75,13.17,50,2019-08-11 23:15:41.642873,2023-09-19 23:15:41.642873
1020301,703733,Education,886424.82,15.67,89,2016-01-26 23:15:41.642873,2023-05-19 23:15:41.642873
1020503,615444,Business,982989.33,10.89,112,2014-02-25 23:15:41.642873,2023-05-09 23:15:41.642873
1020706,546562,Business,687524.83,12.53,43,2014-09-09 23:15:41.642873,2018-03-22 23:15:41.642873
1020910,305028,Housing,1687495.26,14.12,48,2019-04-26 23:15:41.642873,2023-04-05 23:15:41.642873
1021115,561433,Personal,1328881.48,8.18,67,2014-11-14 23:15:41.642873,2020-05-16 23:15:41.642873
1021321,642614,Housing,512830.96,12.0,98,2012-12-22 23:15:41.642873,2021-01-09 23:15:41.642873
1021528,978639,Housing,858072.79,9.69,86,2015-11-27 23:15:41.642873,2022-12-20 23:15:41.642873
1021736,255294,Vehicle,1329289.29,7.63,100,2023-11-03 23:15:41.642873,2032-01-20 23:15:41.642873
1021945,156627,Housing,616300.69,13.27,40,2018-11-07 23:15:41.642873,2022-02-19 23:15:41.642873
1022155,332433,Personal,1790398.39,15.57,87,2023-07-29 23:15:41.642873,2030-09-20 23:15:41.642873
1022366,689292,Business,1071153.72,9.31,43,2019-10-06 23:15:41.642873,2023-04-18 23:15:41.642873
1022578,927260,Vehicle,1670083.03,14.56,118,2013-08-14 23:15:41.642873,2023-04-24 23:15:41.642873
1022791,427218,Education,689511.06,14.58,106,2020-06-14 23:15:41.642873,2029-02-27 23:15:41.642873
1023005,597904,Personal,1957834.94,15.02,49,2014-09-21 23:15:41.642873,2018-09-30 23:15:41.642873
1023220,204509,Housing,1316069.01,9.89,57,2022-08-17 23:15:41.642873,2027-04-23 23:15:41.642873
1023436,233559,Vehicle,567142.44,13.53,118,2013-06-26 23:15:41.642873,2023-03-06 23:15:41.642873
1023653,367668,Personal,1759155.54,10.29,92,2024-03-11 23:15:41.642873,2031-10-01 23:15:41.642873
1023871,392294,Education,1041269.09,9.05,48,2013-02-22 23:15:41.642873,2017-02-01 23:15:41.642873
1024090,302565,Housing,1752135.97,14.64,73,2024-02-07 23:15:41.642873,2030-02-05 23:15:41.642873
1024310,134480,Business,1566437.12,12.76,99,2014-04-24 23:15:41.642873,2022-06-11 23:15:41.642873
1024531,1008528,Housing,1492177.8,11.28,47,2022-05-08 23:15:41.642873,2026-03-18 23:15:41.642873
1024753,275856,Business,847946.95,11.23,39,2014-10-07 23:15:41.642873,2017-12-20 23:15:41.642873
1024976,411655,Education,536723.94,15.56,115,2013-06-03 23:15:41.642873,2022-11-13 23:15:41.642873
1025200,632584,Personal,579459.45,9.84,99,2024-08-17 23:15:41.642873,2032-10-04 23:15:41.642873
1025425,950492,Housing,801309.14,11.19,66,2022-04-20 23:15:41.642873,2027-09-21 23:15:41.642873
1025651,29167,Business,1708389.12,10.72,106,2013-01-27 23:15:41.642873,2021-10-12 23:15:41.642873
1025878,601523,Personal,860054.45,10.97,47,2023-07-29 23:15:41.642873,2027-06-08 23:15:41.642873
1026106,692338,Education,1693437.84,9.57,80,2013-03-10 23:15:41.642873,2019-10-05 23:15:41.642873
1026335,247088,Housing,1728533.17,7.76,58,2019-06-20 23:15:41.642873,2024-03-25 23:15:41.642873
1026565,572272,Housing,1809910.36,8.48,42,2013-05-03 23:15:41.642873,2016-10-14 23:15:41.642873
1026796,754552,Education,940253.83,8.57,64,2023-03-07 23:15:41.642873,2028-06-08 23:15:41.642873
1027028,1009565,Business,787987.49,9.74,80,2015-07-25 23:15:41.642873,2022-02-18 23:15:41.642873
1027261,749111,Education,969873.43,8.1,104,2013-07-30 23:15:41.642873,2022-02-13 23:15:41.642873
1027495,405405,Vehicle,1653752.06,8.94,88,2015-02-15 23:15:41.642873,2022-05-09 23:15:41.642873
1027730,463852,Education,1140183.61,11.77,90,2023-07-11 23:15:41.642873,2030-12-01 23:15:41.642873
1027966,51623,Vehicle,1009749.56,10.93,98,2024-01-17 23:15:41.642873,2032-02-04 23:15:41.642873
1028203,451902,Vehicle,1264161.11,11.03,56,2014-08-24 23:15:41.642873,2019-03-31 23:15:41.642873
1028441,384174,Personal,1800629.09,10.07,58,2024-02-01 23:15:41.642873,2028-11-06 23:15:41.642873
1028680,114126,Housing,1162840.42,9.68,37,2024-07-02 23:15:41.642873,2027-07-17 23:15:41.642873
1028920,296870,Personal,1944840.73,9.74,45,2021-07-22 23:15:41.642873,2025-04-02 23:15:41.642873
1029161,504209,Housing,1167554.86,13.74,76,2014-04-30 23:15:41.642873,2020-07-27 23:15:41.642873
1029403,199981,Education,768768.88,14.6,72,2015-06-26 23:15:41.642873,2021-05-25 23:15:41.642873
1029646,398625,Vehicle,580532.5,12.99,58,2021-01-03 23:15:41.642873,2025-10-09 23:15:41.642873
1029890,861430,Vehicle,958356.5,15.4,68,2017-11-12 23:15:41.642873,2023-06-14 23:15:41.642873
1030135,103977,Vehicle,1699615.3,13.7,86,2015-10-05 23:15:41.642873,2022-10-28 23:15:41.642873
1030381,447389,Business,800063.84,14.79,75,2024-03-23 23:15:41.642873,2030-05-21 23:15:41.642873
1030628,95840,Vehicle,1822835.52,8.93,113,2013-04-15 23:15:41.642873,2022-07-27 23:15:41.642873
1030876,882550,Business,810327.8,15.26,76,2016-05-27 23:15:41.642873,2022-08-24 23:15:41.642873
1031125,647745,Personal,1231976.73,10.55,47,2014-03-12 23:15:41.642873,2018-01-20 23:15:41.642873
1031375,265134,Housing,1209905.64,8.5,53,2022-12-16 23:15:41.642873,2027-04-24 23:15:41.642873
1031626,128253,Education,1988335.09,15.3,89,2017-06-09 23:15:41.642873,2024-09-30 23:15:41.642873
1031878,874363,Housing,809955.23,9.02,72,2023-02-02 23:15:41.642873,2029-01-01 23:15:41.642873
1032131,249582,Education,1679993.34,15.18,86,2023-11-02 23:15:41.642873,2030-11-25 23:15:41.642873
1032385,945168,Personal,561755.06,12.04,63,2014-02-26 23:15:41.642873,2019-05-01 23:15:41.642873
