transaction_id,src_account_id,dest_account_id,amount,currency_code,transaction_date,tran_status
304-AQY-284155,462106,588621,2351.63,$,2022-01-19 23:13:26.632881,TranStatus.F
920-NOF-345410,915125,69198,2262.49,$,2022-12-02 23:13:26.632881,TranStatus.P
602-YZP-322020,591661,716196,2459.31,$,2022-09-01 23:13:26.632881,TranStatus.P
759-TEB-450684,575319,836786,1122.48,$,2023-08-28 23:13:26.632881,TranStatus.F
208-TOR-117548,769300,604712,868.31,$,2023-11-13 23:13:26.632881,TranStatus.C
201-PKL-267173,751557,40192,1883.61,$,2024-03-10 23:13:26.632881,TranStatus.P
572-AQB-322187,894476,29681,1506.27,$,2023-12-20 23:13:26.632881,TranStatus.F
913-BRG-869630,231795,397247,654.41,$,2022-09-20 23:13:26.632881,TranStatus.C
863-JYA-100813,728155,181271,959.95,$,2021-12-04 23:13:26.632881,TranStatus.P
834-KMZ-607952,402486,898328,1227.92,$,2022-07-14 23:13:26.632881,TranStatus.P
291-FVO-272056,456415,459494,438.4,$,2023-06-26 23:13:26.632881,TranStatus.C
894-EVK-320700,964474,235144,241.17,$,2021-11-18 23:13:26.632881,TranStatus.F
102-JAV-546784,908783,652654,1517.29,$,2023-01-07 23:13:26.632881,TranStatus.P
018-EUE-538798,661301,846784,750.25,$,2021-05-01 23:13:26.632881,TranStatus.P
757-EYL-345256,301933,384616,1670.6,$,2022-06-26 23:13:26.632881,TranStatus.F
567-UQI-144747,247046,50309,1850.4,$,2022-11-11 23:13:26.632881,TranStatus.F
025-JOS-718375,708498,590474,449.28,$,2021-05-23 23:13:26.632881,TranStatus.C
005-UYC-681725,478672,290003,1176.38,$,2021-03-11 23:13:26.632881,TranStatus.F
163-GGQ-793285,991074,824498,2419.36,$,2023-05-06 23:13:26.632881,TranStatus.F
337-OBU-394619,799236,58860,2335.57,$,2021-10-17 23:13:26.632881,TranStatus.C
871-VUN-921272,501589,494132,542.81,$,2021-09-16 23:13:26.632881,TranStatus.P
414-YJT-435685,284873,400621,2453.38,$,2023-04-08 23:13:26.632881,TranStatus.C
786-WQY-999673,756029,341778,1795.25,$,2022-02-19 23:13:26.632881,TranStatus.F
803-CMN-886380,825975,859603,1124.61,$,2023-06-18 23:13:26.632881,TranStatus.F
368-DUI-943752,196692,350130,1490.97,$,2022-07-04 23:13:26.632881,TranStatus.P
096-KLR-173164,766973,349693,1590.36,$,2022-08-29 23:13:26.632881,TranStatus.F
561-KWK-580973,459685,636440,1654.32,$,2023-06-04 23:13:26.632881,TranStatus.P
533-AWR-768152,617858,623372,1200.81,$,2022-02-15 23:13:26.632881,TranStatus.P
480-YQM-771513,436676,568824,1060.76,$,2022-01-13 23:13:26.632881,TranStatus.F
205-EYF-323126,927457,818439,1058.15,$,2023-03-20 23:13:26.632881,TranStatus.P
272-AQV-421958,481351,221939,667.48,$,2022-09-24 23:13:26.632881,TranStatus.F
251-JFV-455655,843069,837085,2122.14,$,2021-02-22 23:13:26.632881,TranStatus.P
856-JDS-426835,307960,979625,2157.88,$,2023-05-14 23:13:26.632881,TranStatus.P
341-RAJ-615600,90265,692594,492.72,$,2023-05-19 23:13:26.632881,TranStatus.P
825-WZH-85926,681732,624947,2417.31,$,2023-06-05 23:13:26.632881,TranStatus.C
084-ZBY-458790,570074,730635,2097.23,$,2023-07-07 23:13:26.632881,TranStatus.F
135-JNL-612841,222074,94184,508.72,$,2021-02-06 23:13:26.632881,TranStatus.C
426-HQN-157528,554084,919633,227.94,$,2023-10-22 23:13:26.632881,TranStatus.C
890-URL-599099,124531,707991,1019.77,$,2023-09-24 23:13:26.632881,TranStatus.P
349-RMG-407074,542335,844497,454.65,$,2022-10-15 23:13:26.632881,TranStatus.P
743-UMK-595539,975966,866707,1420.48,$,2023-08-29 23:13:26.632881,TranStatus.C
100-GTR-453042,757145,676645,403.79,$,2021-03-08 23:13:26.632881,TranStatus.F
985-XVQ-289515,691792,65316,1546.31,$,2021-11-05 23:13:26.632881,TranStatus.C
967-EDS-517375,782007,86228,1265.59,$,2021-06-29 23:13:26.632881,TranStatus.P
394-XBP-682603,165299,786123,1531.48,$,2023-01-17 23:13:26.632881,TranStatus.F
181-CAY-600264,24910,853156,1953.06,$,2023-05-17 23:13:26.632881,TranStatus.P
112-QBN-276800,416431,679077,430.71,$,2023-03-05 23:13:26.632881,TranStatus.P
286-WMR-238840,502030,344411,1797.68,$,2021-06-12 23:13:26.632881,TranStatus.C
158-VRI-413449,640136,448264,611.65,$,2021-11-09 23:13:26.632881,TranStatus.F
350-OTD-148050,793329,209758,2455.97,$,2022-11-10 23:13:26.632881,TranStatus.F
550-AGE-208118,319889,263127,2021.29,$,2023-12-04 23:13:26.632881,TranStatus.F
097-HDI-259292,208680,230058,1835.38,$,2022-09-19 23:13:26.632881,TranStatus.C
303-WUV-297053,44575,110117,1628.27,$,2023-05-02 23:13:26.632881,TranStatus.P
167-SSB-313988,593551,907743,1851.75,$,2022-02-21 23:13:26.632881,TranStatus.F
539-QVN-717980,57634,798153,1088.29,$,2021-10-23 23:13:26.632881,TranStatus.F
912-CYQ-862579,991648,505546,1559.17,$,2022-06-12 23:13:26.632881,TranStatus.P
717-PYE-153302,390200,149932,421.75,$,2023-11-30 23:13:26.632881,TranStatus.P
913-ESK-450160,331291,4506,2491.66,$,2022-12-13 23:13:26.632881,TranStatus.C
746-FAC-369353,90030,2877,1453.43,$,2021-05-06 23:13:26.632881,TranStatus.C
793-QWQ-204795,665454,785859,2293.71,$,2021-03-14 23:13:26.632881,TranStatus.P
149-MID-104855,973702,345891,878.84,$,2022-11-10 23:13:26.632881,TranStatus.C
487-NNX-873177,208516,85744,1547.77,$,2024-02-29 23:13:26.632881,TranStatus.F
358-ORZ-621263,56900,22586,711.58,$,2022-02-01 23:13:26.632881,TranStatus.F
743-LXB-26706,591132,657464,244.56,$,2021-09-26 23:13:26.632881,TranStatus.P
198-BEF-437742,479484,659018,2004.0,$,2021-09-24 23:13:26.632881,TranStatus.F
719-GOM-200773,779235,543313,1754.45,$,2021-03-07 23:13:26.632881,TranStatus.F
198-JEB-802194,127709,241479,944.11,$,2023-11-24 23:13:26.632881,TranStatus.F
840-FGI-431406,818069,807915,1099.28,$,2022-08-25 23:13:26.632881,TranStatus.C
670-LQH-141428,525045,228996,396.16,$,2024-01-28 23:13:26.632881,TranStatus.F
552-BFK-31579,913425,323062,1336.8,$,2022-12-23 23:13:26.632881,TranStatus.P
193-UZF-358239,599360,880647,825.2,$,2022-01-10 23:13:26.632881,TranStatus.C
426-SYG-368442,781249,146378,1982.37,$,2022-03-18 23:13:26.632881,TranStatus.P
639-DYA-893836,850567,203304,273.38,$,2021-04-11 23:13:26.632881,TranStatus.F
074-ANF-776401,104677,645729,1698.4,$,2021-11-18 23:13:26.632881,TranStatus.C
622-DVH-7047,676758,565209,1401.3,$,2023-04-04 23:13:26.632881,TranStatus.F
935-KXP-368804,232108,688804,1711.15,$,2021-06-10 23:13:26.632881,TranStatus.P
307-UKG-398700,331697,463061,478.68,$,2021-09-30 23:13:26.632881,TranStatus.P
326-SDS-67393,637606,826368,2036.28,$,2023-03-04 23:13:26.632881,TranStatus.C
449-RCY-595580,880366,412258,605.9,$,2021-11-07 23:13:26.632881,TranStatus.P
958-GMS-683529,830811,339446,2036.95,$,2021-07-28 23:13:26.632881,TranStatus.C
198-HLE-608929,362144,920905,1719.24,$,2022-05-18 23:13:26.632881,TranStatus.P
003-CUE-263158,108688,876294,922.6,$,2022-07-06 23:13:26.632881,TranStatus.F
030-XZT-218318,843165,509281,2127.74,$,2022-08-02 23:13:26.632881,TranStatus.P
421-HAD-804588,758786,185231,2379.15,$,2023-04-30 23:13:26.632881,TranStatus.F
663-EVO-905711,292092,196965,1271.48,$,2022-12-29 23:13:26.632881,TranStatus.P
082-HLY-356203,363462,892955,2058.03,$,2023-10-19 23:13:26.632881,TranStatus.P
173-TTV-467086,665386,489007,777.17,$,2022-01-13 23:13:26.632881,TranStatus.C
346-QSI-282092,616270,207141,2294.68,$,2022-07-03 23:13:26.632881,TranStatus.P
817-NNN-562640,24340,719113,1307.62,$,2022-07-09 23:13:26.632881,TranStatus.P
635-RED-407789,815393,974578,448.25,$,2022-03-11 23:13:26.632881,TranStatus.P
656-YSZ-792756,91257,442651,795.98,$,2023-10-06 23:13:26.632881,TranStatus.F
719-JMG-720211,787021,527617,433.64,$,2023-10-30 23:13:26.632881,TranStatus.P
210-IGS-496007,298947,172303,1369.01,$,2024-02-15 23:13:26.632881,TranStatus.C
731-AKD-235439,230706,501710,1780.47,$,2023-03-10 23:13:26.632881,TranStatus.C
328-USZ-370221,564067,746764,643.45,$,2021-12-25 23:13:26.632881,TranStatus.C
751-UMJ-895187,372942,964314,763.45,$,2022-03-24 23:13:26.632881,TranStatus.C
979-UNA-335286,267585,468965,304.81,$,2023-04-15 23:13:26.632881,TranStatus.C
008-SCN-316640,752392,582994,727.14,$,2022-11-09 23:13:26.632881,TranStatus.P
489-STB-702648,220742,103152,1329.53,$,2023-05-17 23:13:26.632881,TranStatus.P
483-WWS-459855,403238,976193,2374.77,$,2022-02-28 23:13:26.632881,TranStatus.P
082-KGZ-59379,460301,192774,2455.49,$,2023-01-14 23:13:26.632881,TranStatus.C
854-DWV-293468,767683,42896,1541.47,$,2023-09-13 23:13:26.632881,TranStatus.C
876-UEH-580554,836401,712540,844.28,$,2021-04-02 23:13:26.632881,TranStatus.P
281-MGC-870862,867824,479804,2344.61,$,2022-09-22 23:13:26.632881,TranStatus.P
863-KSM-762736,152495,751820,1451.24,$,2022-08-13 23:13:26.632881,TranStatus.C
562-ADK-845830,863581,541546,1291.57,$,2022-02-26 23:13:26.632881,TranStatus.P
800-BBE-433218,116691,305755,1067.85,$,2023-04-04 23:13:26.632881,TranStatus.F
193-PCB-967687,993549,196716,330.5,$,2022-01-18 23:13:26.632881,TranStatus.P
110-PYP-804158,570350,163736,930.01,$,2021-09-20 23:13:26.632881,TranStatus.P
579-QBB-374119,347936,569354,1539.75,$,2024-01-04 23:13:26.632881,TranStatus.F
069-NMH-736101,764925,929729,1264.17,$,2021-04-30 23:13:26.632881,TranStatus.F
706-RFT-343546,614072,846470,740.89,$,2022-08-15 23:13:26.632881,TranStatus.F
553-XZT-383876,970948,27019,1962.94,$,2023-07-13 23:13:26.632881,TranStatus.F
556-XDM-973410,854459,925321,1138.34,$,2021-05-03 23:13:26.632881,TranStatus.F
161-IAH-200019,742417,395740,2217.57,$,2021-09-12 23:13:26.632881,TranStatus.P
627-TDX-401642,708004,717083,1983.02,$,2023-04-18 23:13:26.632881,TranStatus.C
505-KZS-764256,959545,854409,1179.31,$,2022-02-08 23:13:26.632881,TranStatus.P
469-QAK-749881,804424,889579,1198.6,$,2021-08-28 23:13:26.632881,TranStatus.F
265-WYC-496678,49421,805493,1666.09,$,2021-12-06 23:13:26.632881,TranStatus.P
059-ZOT-512770,649219,220597,793.8,$,2021-06-20 23:13:26.632881,TranStatus.F
699-QGO-562219,364998,744383,2447.24,$,2023-04-03 23:13:26.632881,TranStatus.P
746-FTR-799454,719073,270525,1783.83,$,2023-07-16 23:13:26.632881,TranStatus.C
606-SXT-369282,532298,186185,688.11,$,2022-07-20 23:13:26.632881,TranStatus.P
865-GHK-673555,879101,553626,1033.45,$,2021-04-15 23:13:26.632881,TranStatus.P
890-ZFK-546001,336178,599791,2360.2,$,2022-10-20 23:13:26.632881,TranStatus.P
931-WGF-107084,319193,429789,1271.2,$,2021-03-12 23:13:26.632881,TranStatus.C
464-ZBK-34869,299966,993347,544.81,$,2022-09-22 23:13:26.632881,TranStatus.P
530-MAE-427903,85784,671481,1531.64,$,2021-04-20 23:13:26.632881,TranStatus.C
525-MML-804692,896744,903071,233.26,$,2023-03-26 23:13:26.632881,TranStatus.F
523-BWP-87441,117735,353491,543.69,$,2024-03-05 23:13:26.632881,TranStatus.C
642-WSL-899677,907424,516327,614.72,$,2021-10-15 23:13:26.632881,TranStatus.C
583-GHP-565898,818921,397785,1187.45,$,2023-08-23 23:13:26.632881,TranStatus.F
950-LTE-8679,546452,513316,1502.84,$,2021-08-15 23:13:26.632881,TranStatus.P
888-JMN-93297,553380,255237,2255.02,$,2023-07-24 23:13:26.632881,TranStatus.F
080-GLZ-952615,864754,231049,292.93,$,2022-04-06 23:13:26.632881,TranStatus.C
855-VQV-656565,364165,56971,2221.09,$,2023-04-20 23:13:26.632881,TranStatus.P
214-JUJ-611063,333707,63563,451.99,$,2021-11-23 23:13:26.632881,TranStatus.F
549-DZI-1194,183074,754657,1639.24,$,2023-12-23 23:13:26.632881,TranStatus.P
722-EBR-288103,865559,987856,966.75,$,2022-11-22 23:13:26.632881,TranStatus.C
852-FPP-233196,363433,249137,466.49,$,2022-09-24 23:13:26.632881,TranStatus.C
174-TKL-262347,114627,640475,1294.13,$,2023-12-13 23:13:26.632881,TranStatus.F
611-PXM-744818,162409,477807,371.64,$,2022-07-21 23:13:26.632881,TranStatus.C
503-CHS-959951,594630,848072,432.94,$,2023-10-26 23:13:26.632881,TranStatus.F
659-NIY-546252,536587,947904,1051.7,$,2022-05-01 23:13:26.632881,TranStatus.C
143-IKN-343417,289703,424623,442.02,$,2022-09-30 23:13:26.632881,TranStatus.F
288-BJW-813971,425478,89024,2293.41,$,2022-04-30 23:13:26.632881,TranStatus.C
903-SMK-9739,643367,789953,2376.36,$,2021-05-16 23:13:26.632881,TranStatus.P
403-MDC-680820,466375,1674,1946.08,$,2023-12-25 23:13:26.632881,TranStatus.F
308-EET-387943,377173,647159,1217.4,$,2021-12-03 23:13:26.632881,TranStatus.F
054-KAP-25159,400621,823907,1703.31,$,2023-03-10 23:13:26.632881,TranStatus.F
057-YRN-294647,942642,186859,437.06,$,2023-05-28 23:13:26.632881,TranStatus.C
526-UFS-250777,405179,285643,687.66,$,2022-08-08 23:13:26.632881,TranStatus.F
421-CEJ-297203,732314,764393,1728.15,$,2021-03-24 23:13:26.632881,TranStatus.C
244-TKI-360646,571114,570236,829.77,$,2022-09-09 23:13:26.632881,TranStatus.P
237-UPC-597089,763979,114391,1872.31,$,2022-04-24 23:13:26.632881,TranStatus.P
186-MUB-805324,463949,386203,2383.17,$,2021-09-10 23:13:26.632881,TranStatus.P
223-YQT-816054,543738,647883,615.79,$,2023-05-14 23:13:26.632881,TranStatus.F
297-GNJ-380663,498755,730424,2107.26,$,2023-06-16 23:13:26.632881,TranStatus.P
479-VAT-32426,581960,992996,1598.58,$,2023-07-11 23:13:26.632881,TranStatus.C
116-EKU-152881,187372,641356,2152.22,$,2021-12-30 23:13:26.632881,TranStatus.P
593-DLO-235515,557734,173542,2482.59,$,2021-09-25 23:13:26.632881,TranStatus.P
510-LCZ-848132,862342,889695,1402.85,$,2023-03-06 23:13:26.632881,TranStatus.P
698-OWF-172071,880053,761217,1536.74,$,2021-10-18 23:13:26.632881,TranStatus.P
205-BIA-35872,957595,25328,1663.23,$,2022-07-11 23:13:26.632881,TranStatus.P
305-LDR-562632,244363,345890,1868.88,$,2023-01-27 23:13:26.632881,TranStatus.F
927-DTO-170806,364227,375258,2144.81,$,2023-01-27 23:13:26.632881,TranStatus.F
402-LHC-760736,484252,919415,850.11,$,2023-02-20 23:13:26.632881,TranStatus.C
344-ANR-482805,339203,573545,745.8,$,2023-06-01 23:13:26.632881,TranStatus.C
080-GUH-566643,121803,880005,2013.83,$,2023-11-28 23:13:26.632881,TranStatus.P
377-QYK-311494,12282,260604,527.22,$,2023-11-03 23:13:26.632881,TranStatus.C
043-EFL-603684,300633,247440,2045.74,$,2021-09-19 23:13:26.632881,TranStatus.C
176-VDB-719157,20930,471153,1145.67,$,2022-11-25 23:13:26.632881,TranStatus.P
112-ARX-693592,646479,445349,761.24,$,2022-09-29 23:13:26.632881,TranStatus.P
901-RQK-793699,27041,293152,1546.24,$,2023-08-26 23:13:26.632881,TranStatus.C
811-LQT-495145,581672,702938,1993.4,$,2022-09-04 23:13:26.632881,TranStatus.C
499-NMM-606249,202219,21656,1835.88,$,2022-04-13 23:13:26.632881,TranStatus.F
178-MAW-112425,830022,845452,1325.49,$,2023-04-22 23:13:26.632881,TranStatus.F
983-LUR-33529,338718,242059,1280.96,$,2021-06-09 23:13:26.632881,TranStatus.P
266-BUE-478589,849810,239684,2251.63,$,2022-02-05 23:13:26.632881,TranStatus.C
437-HOO-74045,669200,99406,1316.81,$,2023-05-01 23:13:26.632881,TranStatus.C
937-NAO-638845,6581,299841,1377.15,$,2023-03-06 23:13:26.632881,TranStatus.C
909-VNH-219297,400443,203351,1973.88,$,2021-12-17 23:13:26.632881,TranStatus.P
839-XWW-752346,116714,815555,1859.32,$,2022-05-07 23:13:26.632881,TranStatus.F
552-BPS-832549,574735,231088,914.79,$,2022-12-18 23:13:26.632881,TranStatus.F
419-MWY-483738,962931,433862,554.22,$,2023-07-17 23:13:26.632881,TranStatus.C
637-WOM-115697,256054,585907,1769.2,$,2023-01-27 23:13:26.632881,TranStatus.C
610-ARC-324621,259776,848612,2096.27,$,2022-04-02 23:13:26.632881,TranStatus.C
171-NEB-282625,60660,861986,926.6,$,2021-06-28 23:13:26.632881,TranStatus.P
786-BFA-362586,347371,784984,1514.41,$,2022-07-28 23:13:26.632881,TranStatus.F
078-GDB-457443,830916,168396,658.09,$,2023-01-24 23:13:26.632881,TranStatus.F
943-DIF-865143,762932,120692,696.14,$,2022-09-05 23:13:26.632881,TranStatus.C
188-RIL-744887,624501,123659,2256.07,$,2022-10-07 23:13:26.632881,TranStatus.F
357-MJV-401147,859324,709744,2005.55,$,2023-02-15 23:13:26.632881,TranStatus.P
092-IJL-261213,561887,742351,239.22,$,2021-11-29 23:13:26.632881,TranStatus.P
448-CQS-984021,301008,129856,648.61,$,2021-10-01 23:13:26.632881,TranStatus.P
064-DNH-317819,16586,787196,1506.11,$,2024-01-08 23:13:26.632881,TranStatus.P
167-CPV-999137,329024,735801,1144.79,$,2022-09-09 23:13:26.632881,TranStatus.P
702-RZL-881836,222232,366405,267.07,$,2021-03-30 23:13:26.632881,TranStatus.C
253-AES-450461,484181,25216,699.93,$,2021-04-16 23:13:26.632881,TranStatus.F
028-YBR-703063,334562,738478,388.52,$,2022-07-31 23:13:26.632881,TranStatus.P
007-DIN-380328,937378,378617,1833.2,$,2022-06-20 23:13:26.632881,TranStatus.C
688-JOR-951903,352878,236469,251.0,$,2023-01-28 23:13:26.632881,TranStatus.F
373-WMK-435185,129870,14490,1864.8,$,2021-02-28 23:13:26.632881,TranStatus.F
430-EIY-883211,67859,75824,1828.64,$,2022-05-16 23:13:26.632881,TranStatus.P
967-YQV-343549,888793,910230,2396.83,$,2023-05-08 23:13:26.632881,TranStatus.P
851-JGZ-348020,253156,340349,1674.91,$,2021-03-30 23:13:26.632881,TranStatus.C
659-WDZ-730359,831678,728559,373.26,$,2022-06-07 23:13:26.632881,TranStatus.C
691-NKF-982563,358269,450943,232.16,$,2024-01-11 23:13:26.632881,TranStatus.C
205-BBU-346852,838824,103989,468.79,$,2022-05-08 23:13:26.632881,TranStatus.C
005-BPO-82524,55823,322971,1202.5,$,2021-08-20 23:13:26.632881,TranStatus.P
782-PJD-773974,110,382919,1793.06,$,2023-10-07 23:13:26.632881,TranStatus.F
506-OVI-113890,297397,814391,1195.34,$,2023-12-31 23:13:26.632881,TranStatus.C
493-TIX-371703,601197,736504,528.44,$,2021-07-18 23:13:26.632881,TranStatus.F
762-XEB-352077,912866,413277,1703.06,$,2022-12-03 23:13:26.632881,TranStatus.F
592-IRL-553370,307582,161250,1208.04,$,2023-02-23 23:13:26.632881,TranStatus.F
202-UBV-938787,476287,391860,2288.41,$,2021-02-13 23:13:26.632881,TranStatus.P
862-WWB-906031,939931,300956,250.33,$,2022-12-06 23:13:26.632881,TranStatus.F
873-IJB-541818,819767,159644,413.03,$,2023-01-09 23:13:26.632881,TranStatus.P
983-LDY-93056,733731,589672,721.27,$,2023-07-14 23:13:26.632881,TranStatus.C
412-FUN-105345,944674,391125,1381.36,$,2022-12-24 23:13:26.632881,TranStatus.C
721-LZE-767016,624287,37744,1461.65,$,2022-09-14 23:13:26.632881,TranStatus.C
420-EFH-617936,221859,734954,1556.48,$,2023-03-08 23:13:26.632881,TranStatus.P
895-VXZ-533324,78989,622920,2231.98,$,2022-06-30 23:13:26.632881,TranStatus.P
208-PQN-760605,276243,903021,264.96,$,2023-04-14 23:13:26.632881,TranStatus.P
583-ZWY-297574,811068,445403,1530.61,$,2022-08-27 23:13:26.632881,TranStatus.F
331-FQK-637041,404917,919676,292.82,$,2023-12-29 23:13:26.632881,TranStatus.F
415-GBH-101195,991071,602431,1979.16,$,2023-02-13 23:13:26.632881,TranStatus.C
285-QAI-684709,4916,702539,2419.79,$,2022-09-02 23:13:26.632881,TranStatus.F
871-VBI-819441,974351,661749,1620.63,$,2022-05-20 23:13:26.632881,TranStatus.F
946-KQC-398206,482556,92998,2256.41,$,2022-06-05 23:13:26.632881,TranStatus.F
454-WIF-947811,233922,464336,1546.36,$,2023-01-26 23:13:26.632881,TranStatus.F
322-NOS-637034,116316,372646,2276.71,$,2021-09-17 23:13:26.632881,TranStatus.F
014-ULO-20547,455330,472015,2176.93,$,2021-03-02 23:13:26.632881,TranStatus.C
515-ITA-13233,620683,349936,1640.7,$,2024-02-25 23:13:26.632881,TranStatus.P
215-YFH-360037,541563,673483,1000.7,$,2022-07-02 23:13:26.632881,TranStatus.C
610-POV-479953,185637,811170,648.53,$,2022-03-27 23:13:26.632881,TranStatus.P
961-XPS-506508,993644,305550,2000.33,$,2021-10-08 23:13:26.632881,TranStatus.F
328-BWX-369474,804258,162224,481.63,$,2023-05-03 23:13:26.632881,TranStatus.F
267-CJO-800288,392746,464066,1887.84,$,2022-03-21 23:13:26.632881,TranStatus.F
377-QKZ-164078,974428,740857,717.48,$,2022-06-03 23:13:26.632881,TranStatus.C
049-MKU-577241,240309,856829,2338.18,$,2022-07-29 23:13:26.632881,TranStatus.C
445-WHU-402900,253961,204223,1259.42,$,2021-08-06 23:13:26.632881,TranStatus.P
309-LPO-820622,283622,450883,542.96,$,2022-01-05 23:13:26.632881,TranStatus.C
746-CTF-454074,594670,197933,1252.73,$,2022-07-21 23:13:26.632881,TranStatus.P
778-QZG-863757,230893,509598,1420.55,$,2022-05-04 23:13:26.632881,TranStatus.F
647-EPI-931045,247603,620430,1791.51,$,2023-01-17 23:13:26.632881,TranStatus.C
588-NYU-434423,728905,961818,982.43,$,2023-09-09 23:13:26.632881,TranStatus.F
567-VHK-893583,147885,126709,1208.53,$,2023-06-18 23:13:26.632881,TranStatus.P
360-UEM-461677,710764,610112,1034.7,$,2023-01-13 23:13:26.632881,TranStatus.P
140-FBL-634758,991743,663583,1243.03,$,2023-10-12 23:13:26.632881,TranStatus.F
103-DPM-552407,748611,685137,1972.2,$,2024-01-20 23:13:26.632881,TranStatus.F
623-LDX-828619,276512,84302,1799.43,$,2021-04-25 23:13:26.632881,TranStatus.F
128-ACH-307887,794029,631564,2009.76,$,2022-05-23 23:13:26.632881,TranStatus.F
485-QND-973703,477398,410769,970.7,$,2021-02-08 23:13:26.632881,TranStatus.P
574-UTL-25818,68508,756170,1152.67,$,2023-09-09 23:13:26.632881,TranStatus.P
510-ESD-289131,641287,72848,2409.6,$,2022-04-20 23:13:26.632881,TranStatus.P
354-ZXC-402204,78271,139613,1567.57,$,2022-12-04 23:13:26.632881,TranStatus.F
175-TSP-281439,235286,373054,2051.66,$,2021-05-31 23:13:26.632881,TranStatus.C
033-RUH-404631,166797,691917,267.25,$,2022-07-27 23:13:26.632881,TranStatus.P
341-LTO-421552,451480,929489,2307.03,$,2021-11-11 23:13:26.632881,TranStatus.C
584-SXQ-975456,273417,880459,829.51,$,2021-08-24 23:13:26.632881,TranStatus.C
409-ZEP-444872,128192,926641,1897.09,$,2022-05-19 23:13:26.632881,TranStatus.F
791-FSE-5535,86935,503349,381.15,$,2022-12-26 23:13:26.632881,TranStatus.P
153-XMJ-786089,123271,440723,309.41,$,2023-03-31 23:13:26.632881,TranStatus.C
266-SPO-839093,606144,247819,520.13,$,2022-05-06 23:13:26.632881,TranStatus.P
504-BMD-725465,324917,122741,342.36,$,2024-01-23 23:13:26.632881,TranStatus.C
352-CVR-315257,543173,294261,1407.33,$,2023-06-22 23:13:26.632881,TranStatus.F
529-IQY-343224,266935,267871,1969.77,$,2022-06-30 23:13:26.632881,TranStatus.F
337-RUY-785229,618412,779791,657.23,$,2021-10-09 23:13:26.632881,TranStatus.F
571-URC-584282,600033,416792,2410.01,$,2021-05-14 23:13:26.632881,TranStatus.P
157-ZCV-685630,489412,170804,769.69,$,2023-12-11 23:13:26.632881,TranStatus.C
158-MSA-621958,5394,19894,495.12,$,2021-09-10 23:13:26.632881,TranStatus.C
202-UQK-526036,501698,482079,873.07,$,2021-04-17 23:13:26.632881,TranStatus.C
089-YKP-412253,840927,846021,1574.16,$,2023-03-08 23:13:26.632881,TranStatus.C
903-IZT-426144,879964,448196,1691.83,$,2021-11-08 23:13:26.632881,TranStatus.F
434-CPO-767761,504836,85469,1927.98,$,2023-09-13 23:13:26.632881,TranStatus.C
488-PFD-167122,452361,648675,1116.85,$,2022-01-25 23:13:26.632881,TranStatus.F
325-KHA-598760,439279,295189,587.69,$,2023-09-27 23:13:26.632881,TranStatus.C
294-BBP-796250,852928,178609,2170.02,$,2023-03-10 23:13:26.632881,TranStatus.C
