fc_id,fc_release_to_mfg_date,fc_release_to_mfg_count,fc_arrival_from_mfg_date,fc_arrival_from_mfg_count,fc_inspection_date,fc_mfg_facility_id,fc_release_to_shipment_date,mfg_facility_id,to_mfg_facility_arrival_date,from_mfg_facility_departure_date,mfg_facility_input_count,mfg_facility_output_count,mfg_facility_backlog_count,mfg_facility_product_capability_count
FC#98490,2018-07-05 10:02:36.886988,981,2018-07-14 10:02:36.886988,290,2024-03-03 22:43:36.886988,MFG_ID#1293,2018-07-06 10:02:36.886988,MFG_ID#1293,2018-07-08 10:02:36.886988,2018-07-10 10:02:36.886988,117289,90614,26675,128
FC#121168,2022-01-31 01:49:36.886998,412,2022-02-12 01:49:36.886998,194,2022-07-05 06:44:36.886998,MFG_ID#1363,2022-01-18 01:49:36.886998,MFG_ID#1363,2022-02-03 01:49:36.886998,2022-02-06 01:49:36.886998,174243,132269,41974,65
FC#126361,2017-10-02 18:11:36.887009,911,2017-10-13 18:11:36.887009,839,2021-02-20 06:20:36.887009,MFG_ID#584,2017-09-23 18:11:36.887009,MFG_ID#584,2017-10-04 18:11:36.887009,2017-10-07 18:11:36.887009,126070,98489,27581,68
FC#35373,2022-04-21 09:26:36.887019,82,2022-05-02 09:26:36.887019,750,2024-07-15 00:56:36.887019,MFG_ID#1696,2022-05-06 09:26:36.887019,MFG_ID#1696,2022-04-23 09:26:36.887019,2022-04-25 09:26:36.887019,136563,94750,41813,59
FC#126547,2022-11-28 07:42:36.887029,872,2022-12-10 07:42:36.887029,341,2024-09-04 13:00:36.887029,MFG_ID#748,2022-11-21 07:42:36.887029,MFG_ID#748,2022-12-02 07:42:36.887029,2022-12-06 07:42:36.887029,155649,149159,6490,60
FC#129220,2024-12-14 06:50:36.887040,274,2024-12-22 06:50:36.887040,850,2021-04-18 23:25:36.887040,MFG_ID#691,2024-12-13 06:50:36.887040,MFG_ID#691,2024-12-17 06:50:36.887040,2024-12-20 06:50:36.887040,106279,75801,30478,59
FC#187477,2018-01-27 22:21:36.887049,144,2018-02-06 22:21:36.887049,342,2022-06-13 20:50:36.887049,MFG_ID#1008,2018-01-30 22:21:36.887049,MFG_ID#1008,2018-01-30 22:21:36.887049,2018-02-01 22:21:36.887049,178046,149588,28458,99
FC#87341,2022-12-02 03:11:36.887062,25,2022-12-12 03:11:36.887062,421,2021-05-06 01:58:36.887062,MFG_ID#1848,2022-11-24 03:11:36.887062,MFG_ID#1848,2022-12-05 03:11:36.887062,2022-12-08 03:11:36.887062,101088,100398,690,120
FC#132066,2018-09-06 01:18:36.887072,787,2018-09-16 01:18:36.887072,22,2024-05-29 12:56:36.887072,MFG_ID#1694,2018-08-26 01:18:36.887072,MFG_ID#1694,2018-09-09 01:18:36.887072,2018-09-13 01:18:36.887072,140854,102317,38537,126
FC#126122,2021-02-16 07:45:36.887082,171,2021-02-23 07:45:36.887082,295,2024-06-23 02:45:36.887082,MFG_ID#1730,2021-02-01 07:45:36.887082,MFG_ID#1730,2021-02-20 07:45:36.887082,2021-02-23 07:45:36.887082,123230,76660,46570,135
FC#113966,2022-06-30 08:35:36.887092,389,2022-07-12 08:35:36.887092,793,2024-04-13 05:06:36.887092,MFG_ID#1381,2022-06-22 08:35:36.887092,MFG_ID#1381,2022-07-02 08:35:36.887092,2022-07-05 08:35:36.887092,184565,140495,44070,104
FC#20824,2023-06-01 20:47:36.887103,799,2023-06-09 20:47:36.887103,90,2023-07-19 11:51:36.887103,MFG_ID#724,2023-06-16 20:47:36.887103,MFG_ID#724,2023-06-05 20:47:36.887103,2023-06-08 20:47:36.887103,174479,139489,34990,97
FC#87453,2023-02-18 08:41:36.887117,466,2023-02-27 08:41:36.887117,203,2022-12-21 00:06:36.887117,MFG_ID#1741,2023-02-20 08:41:36.887117,MFG_ID#1741,2023-02-21 08:41:36.887117,2023-02-25 08:41:36.887117,122850,110050,12800,102
FC#74353,2024-08-31 02:41:36.887128,158,2024-09-11 02:41:36.887128,116,2024-12-06 06:15:36.887128,MFG_ID#1766,2024-08-22 02:41:36.887128,MFG_ID#1766,2024-09-03 02:41:36.887128,2024-09-04 02:41:36.887128,97878,80370,17508,119
FC#198040,2020-07-06 05:03:36.887138,697,2020-07-18 05:03:36.887138,858,2021-07-01 13:56:36.887138,MFG_ID#1343,2020-06-30 05:03:36.887138,MFG_ID#1343,2020-07-09 05:03:36.887138,2020-07-12 05:03:36.887138,141631,109937,31694,82
FC#98207,2021-12-19 07:50:36.887149,624,2021-12-30 07:50:36.887149,373,2024-01-01 12:52:36.887149,MFG_ID#685,2021-12-31 07:50:36.887149,MFG_ID#685,2021-12-22 07:50:36.887149,2021-12-26 07:50:36.887149,109206,64220,44986,144
FC#18667,2023-08-14 23:46:36.887159,882,2023-08-22 23:46:36.887159,307,2024-02-15 22:41:36.887159,MFG_ID#718,2023-08-11 23:46:36.887159,MFG_ID#718,2023-08-16 23:46:36.887159,2023-08-20 23:46:36.887159,122530,108040,14490,81
FC#154054,2020-10-02 22:23:36.887169,59,2020-10-09 22:23:36.887169,53,2024-06-07 15:32:36.887169,MFG_ID#952,2020-09-27 22:23:36.887169,MFG_ID#952,2020-10-04 22:23:36.887169,2020-10-05 22:23:36.887169,139074,134746,4328,80
FC#193265,2020-04-15 14:35:36.887179,558,2020-04-23 14:35:36.887179,114,2022-09-24 00:50:36.887179,MFG_ID#1344,2020-04-15 14:35:36.887179,MFG_ID#1344,2020-04-18 14:35:36.887179,2020-04-20 14:35:36.887179,139979,94246,45733,67
FC#6861,2017-10-31 19:38:36.887189,750,2017-11-12 19:38:36.887189,906,2022-05-30 06:12:36.887189,MFG_ID#1520,2017-11-12 19:38:36.887189,MFG_ID#1520,2017-11-02 19:38:36.887189,2017-11-04 19:38:36.887189,118269,92398,25871,124
FC#139922,2020-07-29 06:26:36.887200,991,2020-08-07 06:26:36.887200,415,2023-12-01 13:35:36.887200,MFG_ID#1654,2020-08-11 06:26:36.887200,MFG_ID#1654,2020-07-31 06:26:36.887200,2020-08-01 06:26:36.887200,157549,140881,16668,132
FC#45624,2024-12-06 22:44:36.887210,653,2024-12-18 22:44:36.887210,578,2023-06-02 06:50:36.887210,MFG_ID#666,2024-12-04 22:44:36.887210,MFG_ID#666,2024-12-09 22:44:36.887210,2024-12-12 22:44:36.887210,123880,110642,13238,106
FC#85916,2021-06-29 09:51:36.887220,69,2021-07-06 09:51:36.887220,618,2025-01-18 22:38:36.887220,MFG_ID#1152,2021-06-14 09:51:36.887220,MFG_ID#1152,2021-07-01 09:51:36.887220,2021-07-04 09:51:36.887220,153889,125966,27923,98
FC#133149,2022-03-05 00:51:36.887231,659,2022-03-13 00:51:36.887231,532,2023-04-29 09:38:36.887231,MFG_ID#1552,2022-03-31 00:51:36.887231,MFG_ID#1552,2022-03-08 00:51:36.887231,2022-03-10 00:51:36.887231,180066,160568,19498,129
FC#120126,2019-10-31 13:15:36.887241,322,2019-11-12 13:15:36.887241,749,2022-12-05 21:39:36.887241,MFG_ID#1169,2019-11-03 13:15:36.887241,MFG_ID#1169,2019-11-02 13:15:36.887241,2019-11-05 13:15:36.887241,199881,192597,7284,55
FC#131567,2018-12-30 11:05:36.887251,759,2019-01-10 11:05:36.887251,804,2021-08-13 08:02:36.887251,MFG_ID#1169,2019-01-04 11:05:36.887251,MFG_ID#1169,2019-01-03 11:05:36.887251,2019-01-04 11:05:36.887251,166009,117767,48242,113
FC#127081,2024-11-11 08:40:36.887262,281,2024-11-20 08:40:36.887262,269,2022-03-28 02:05:36.887262,MFG_ID#628,2024-10-31 08:40:36.887262,MFG_ID#628,2024-11-15 08:40:36.887262,2024-11-16 08:40:36.887262,156514,114377,42137,142
FC#171211,2020-03-30 20:14:36.887272,605,2020-04-10 20:14:36.887272,521,2023-02-21 17:07:36.887272,MFG_ID#1427,2020-03-18 20:14:36.887272,MFG_ID#1427,2020-04-01 20:14:36.887272,2020-04-05 20:14:36.887272,194902,173355,21547,133
FC#183874,2018-06-18 04:18:36.887283,481,2018-06-30 04:18:36.887283,547,2021-02-08 09:24:36.887283,MFG_ID#1678,2018-06-08 04:18:36.887283,MFG_ID#1678,2018-06-21 04:18:36.887283,2018-06-23 04:18:36.887283,130786,125075,5711,79
FC#152398,2023-08-18 16:56:36.887292,651,2023-08-25 16:56:36.887292,863,2023-04-18 08:27:36.887292,MFG_ID#1851,2023-08-07 16:56:36.887292,MFG_ID#1851,2023-08-22 16:56:36.887292,2023-08-24 16:56:36.887292,96605,76506,20099,112
FC#87655,2025-01-03 03:11:36.887302,486,2025-01-14 03:11:36.887302,968,2024-07-27 17:50:36.887302,MFG_ID#1079,2024-12-14 03:11:36.887302,MFG_ID#1079,2025-01-07 03:11:36.887302,2025-01-11 03:11:36.887302,137058,134774,2284,135
FC#18799,2015-06-21 03:05:36.887315,294,2015-07-01 03:05:36.887315,852,2022-10-30 16:58:36.887315,MFG_ID#984,2015-07-09 03:05:36.887315,MFG_ID#984,2015-06-23 03:05:36.887315,2015-06-25 03:05:36.887315,173039,142208,30831,131
FC#165406,2023-03-22 04:33:36.887325,941,2023-03-29 04:33:36.887325,983,2024-07-17 23:01:36.887325,MFG_ID#1772,2023-03-07 04:33:36.887325,MFG_ID#1772,2023-03-25 04:33:36.887325,2023-03-29 04:33:36.887325,152165,145036,7129,87
FC#177064,2021-01-29 04:20:36.887335,226,2021-02-09 04:20:36.887335,731,2023-09-03 06:18:36.887335,MFG_ID#1799,2021-02-11 04:20:36.887335,MFG_ID#1799,2021-02-01 04:20:36.887335,2021-02-02 04:20:36.887335,85643,36519,49124,75
FC#161738,2016-01-17 05:56:36.887345,460,2016-01-25 05:56:36.887345,479,2022-04-30 05:49:36.887345,MFG_ID#1835,2016-01-04 05:56:36.887345,MFG_ID#1835,2016-01-19 05:56:36.887345,2016-01-21 05:56:36.887345,113934,81543,32391,92
FC#191288,2019-04-11 20:44:36.887355,491,2019-04-23 20:44:36.887355,289,2024-08-08 00:29:36.887355,MFG_ID#513,2019-03-31 20:44:36.887355,MFG_ID#513,2019-04-14 20:44:36.887355,2019-04-15 20:44:36.887355,105306,85863,19443,79
FC#103946,2016-05-21 07:36:36.887365,768,2016-05-30 07:36:36.887365,503,2023-08-26 23:53:36.887365,MFG_ID#1251,2016-05-01 07:36:36.887365,MFG_ID#1251,2016-05-23 07:36:36.887365,2016-05-26 07:36:36.887365,188630,147368,41262,146
FC#154498,2020-07-28 21:17:36.887375,383,2020-08-06 21:17:36.887375,325,2022-03-04 09:29:36.887375,MFG_ID#1590,2020-07-16 21:17:36.887375,MFG_ID#1590,2020-08-01 21:17:36.887375,2020-08-05 21:17:36.887375,109845,77648,32197,83
FC#142617,2017-11-10 00:57:36.887384,678,2017-11-17 00:57:36.887384,377,2021-08-04 07:54:36.887384,MFG_ID#1921,2017-11-08 00:57:36.887384,MFG_ID#1921,2017-11-12 00:57:36.887384,2017-11-13 00:57:36.887384,94111,81341,12770,119
FC#125800,2021-12-16 01:18:36.887395,940,2021-12-28 01:18:36.887395,245,2023-03-10 01:26:36.887395,MFG_ID#1266,2021-12-22 01:18:36.887395,MFG_ID#1266,2021-12-20 01:18:36.887395,2021-12-23 01:18:36.887395,198176,162548,35628,56
FC#83823,2023-07-19 21:32:36.887405,13,2023-07-30 21:32:36.887405,557,2024-10-14 19:52:36.887405,MFG_ID#609,2023-08-03 21:32:36.887405,MFG_ID#609,2023-07-21 21:32:36.887405,2023-07-24 21:32:36.887405,186449,173057,13392,58
FC#5958,2023-05-28 23:36:36.887415,898,2023-06-07 23:36:36.887415,227,2022-02-05 06:02:36.887415,MFG_ID#1513,2023-05-15 23:36:36.887415,MFG_ID#1513,2023-05-30 23:36:36.887415,2023-06-03 23:36:36.887415,97479,68698,28781,75
FC#37765,2022-10-10 01:46:36.887425,474,2022-10-22 01:46:36.887425,879,2025-01-18 19:02:36.887425,MFG_ID#1928,2022-10-11 01:46:36.887425,MFG_ID#1928,2022-10-12 01:46:36.887425,2022-10-13 01:46:36.887425,94140,57406,36734,130
FC#92609,2024-12-09 01:21:36.887436,738,2024-12-21 01:21:36.887436,73,2024-07-13 21:43:36.887436,MFG_ID#1237,2024-12-12 01:21:36.887436,MFG_ID#1237,2024-12-12 01:21:36.887436,2024-12-15 01:21:36.887436,96784,66378,30406,54
FC#183745,2023-03-21 23:55:36.887446,220,2023-04-02 23:55:36.887446,696,2021-12-30 02:36:36.887446,MFG_ID#1957,2023-03-18 23:55:36.887446,MFG_ID#1957,2023-03-24 23:55:36.887446,2023-03-25 23:55:36.887446,76442,58640,17802,66
FC#197879,2017-12-01 07:27:36.887456,913,2017-12-12 07:27:36.887456,75,2023-04-08 23:02:36.887456,MFG_ID#521,2017-11-14 07:27:36.887456,MFG_ID#521,2017-12-03 07:27:36.887456,2017-12-06 07:27:36.887456,120100,119179,921,139
FC#94846,2021-02-17 08:35:36.887466,742,2021-02-25 08:35:36.887466,415,2023-01-15 04:30:36.887466,MFG_ID#1411,2021-02-17 08:35:36.887466,MFG_ID#1411,2021-02-20 08:35:36.887466,2021-02-21 08:35:36.887466,91084,55309,35775,121
FC#87533,2015-06-01 21:09:36.887477,932,2015-06-11 21:09:36.887477,814,2022-09-02 09:00:36.887477,MFG_ID#1732,2015-06-06 21:09:36.887477,MFG_ID#1732,2015-06-03 21:09:36.887477,2015-06-04 21:09:36.887477,183403,149441,33962,97
FC#46046,2021-12-21 07:44:36.887487,262,2021-12-30 07:44:36.887487,674,2023-06-02 14:07:36.887487,MFG_ID#1770,2021-12-03 07:44:36.887487,MFG_ID#1770,2021-12-24 07:44:36.887487,2021-12-27 07:44:36.887487,156633,150028,6605,94
FC#164769,2021-09-30 04:37:36.887497,442,2021-10-10 04:37:36.887497,169,2022-06-29 16:28:36.887497,MFG_ID#1915,2021-09-26 04:37:36.887497,MFG_ID#1915,2021-10-04 04:37:36.887497,2021-10-06 04:37:36.887497,181676,158828,22848,100
FC#106898,2021-04-12 01:22:36.887507,214,2021-04-22 01:22:36.887507,585,2021-05-17 13:08:36.887507,MFG_ID#1560,2021-03-22 01:22:36.887507,MFG_ID#1560,2021-04-15 01:22:36.887507,2021-04-16 01:22:36.887507,159528,127747,31781,61
FC#17827,2021-02-19 19:12:36.887517,931,2021-02-27 19:12:36.887517,734,2022-07-12 12:02:36.887517,MFG_ID#911,2021-02-10 19:12:36.887517,MFG_ID#911,2021-02-22 19:12:36.887517,2021-02-24 19:12:36.887517,117260,95746,21514,88
FC#154274,2021-10-10 07:09:36.887527,347,2021-10-22 07:09:36.887527,23,2024-06-06 18:36:36.887527,MFG_ID#1513,2021-10-04 07:09:36.887527,MFG_ID#1513,2021-10-14 07:09:36.887527,2021-10-16 07:09:36.887527,125617,76618,48999,73
FC#125693,2019-01-16 00:24:36.887537,476,2019-01-28 00:24:36.887537,674,2024-01-11 06:26:36.887537,MFG_ID#1421,2019-01-11 00:24:36.887537,MFG_ID#1421,2019-01-18 00:24:36.887537,2019-01-21 00:24:36.887537,148631,130760,17871,104
FC#45740,2015-03-23 03:20:36.887547,344,2015-03-31 03:20:36.887547,988,2023-11-22 12:10:36.887547,MFG_ID#1289,2015-03-18 03:20:36.887547,MFG_ID#1289,2015-03-25 03:20:36.887547,2015-03-28 03:20:36.887547,121002,99157,21845,144
FC#128484,2017-05-11 15:32:36.887562,165,2017-05-19 15:32:36.887562,257,2023-06-24 18:37:36.887562,MFG_ID#1253,2017-04-22 15:32:36.887562,MFG_ID#1253,2017-05-13 15:32:36.887562,2017-05-17 15:32:36.887562,162717,152732,9985,51
FC#42734,2015-07-03 22:34:36.887572,543,2015-07-14 22:34:36.887572,244,2024-12-07 07:15:36.887572,MFG_ID#556,2015-06-30 22:34:36.887572,MFG_ID#556,2015-07-06 22:34:36.887572,2015-07-07 22:34:36.887572,196072,185026,11046,131
FC#113112,2022-11-19 06:55:36.887582,740,2022-12-01 06:55:36.887582,367,2021-04-08 22:11:36.887582,MFG_ID#1796,2022-11-12 06:55:36.887582,MFG_ID#1796,2022-11-23 06:55:36.887582,2022-11-27 06:55:36.887582,160532,121494,39038,148
FC#101793,2017-01-11 01:56:36.887592,899,2017-01-19 01:56:36.887592,619,2022-11-17 22:35:36.887592,MFG_ID#1892,2016-12-27 01:56:36.887592,MFG_ID#1892,2017-01-13 01:56:36.887592,2017-01-17 01:56:36.887592,192022,172564,19458,87
FC#171361,2024-01-03 23:51:36.887602,976,2024-01-13 23:51:36.887602,79,2023-05-19 23:22:36.887602,MFG_ID#749,2024-01-04 23:51:36.887602,MFG_ID#749,2024-01-07 23:51:36.887602,2024-01-08 23:51:36.887602,110886,89249,21637,98
FC#75110,2024-12-04 08:44:36.887612,548,2024-12-14 08:44:36.887612,99,2023-04-04 23:55:36.887612,MFG_ID#1263,2024-11-23 08:44:36.887612,MFG_ID#1263,2024-12-07 08:44:36.887612,2024-12-08 08:44:36.887612,98821,58728,40093,83
FC#86171,2017-07-03 21:19:36.887622,885,2017-07-10 21:19:36.887622,543,2021-02-14 02:56:36.887622,MFG_ID#1865,2017-07-02 21:19:36.887622,MFG_ID#1865,2017-07-06 21:19:36.887622,2017-07-09 21:19:36.887622,123172,110804,12368,118
FC#155465,2016-09-29 03:33:36.887632,370,2016-10-07 03:33:36.887632,498,2021-01-30 14:28:36.887632,MFG_ID#1987,2016-09-10 03:33:36.887632,MFG_ID#1987,2016-10-02 03:33:36.887632,2016-10-04 03:33:36.887632,164418,123342,41076,66
FC#168031,2018-07-14 09:33:36.887642,991,2018-07-21 09:33:36.887642,142,2022-10-25 05:40:36.887642,MFG_ID#818,2018-07-24 09:33:36.887642,MFG_ID#818,2018-07-16 09:33:36.887642,2018-07-18 09:33:36.887642,111168,75729,35439,50
FC#190745,2023-02-05 00:10:36.887652,527,2023-02-17 00:10:36.887652,385,2024-11-16 23:02:36.887652,MFG_ID#946,2023-01-18 00:10:36.887652,MFG_ID#946,2023-02-07 00:10:36.887652,2023-02-11 00:10:36.887652,173726,163061,10665,86
FC#129524,2018-11-22 11:42:36.887662,657,2018-12-02 11:42:36.887662,790,2022-01-18 03:13:36.887662,MFG_ID#1239,2018-11-27 11:42:36.887662,MFG_ID#1239,2018-11-26 11:42:36.887662,2018-11-27 11:42:36.887662,199951,192251,7700,77
FC#106107,2022-04-26 14:24:36.887672,166,2022-05-08 14:24:36.887672,932,2023-10-08 03:33:36.887672,MFG_ID#1492,2022-05-16 14:24:36.887672,MFG_ID#1492,2022-04-30 14:24:36.887672,2022-05-04 14:24:36.887672,91120,62426,28694,57
FC#77389,2016-06-07 06:55:36.887687,371,2016-06-17 06:55:36.887687,549,2024-06-30 04:41:36.887687,MFG_ID#1498,2016-06-17 06:55:36.887687,MFG_ID#1498,2016-06-09 06:55:36.887687,2016-06-12 06:55:36.887687,199629,196673,2956,85
FC#11584,2017-07-03 15:01:36.887698,334,2017-07-12 15:01:36.887698,556,2021-04-04 10:10:36.887698,MFG_ID#1903,2017-06-30 15:01:36.887698,MFG_ID#1903,2017-07-05 15:01:36.887698,2017-07-06 15:01:36.887698,170719,169198,1521,148
FC#64848,2017-09-17 14:59:36.887708,575,2017-09-24 14:59:36.887708,201,2022-06-21 00:35:36.887708,MFG_ID#1263,2017-10-01 14:59:36.887708,MFG_ID#1263,2017-09-21 14:59:36.887708,2017-09-22 14:59:36.887708,131772,114088,17684,86
FC#52607,2016-09-25 01:02:36.887718,874,2016-10-05 01:02:36.887718,967,2022-03-16 04:01:36.887718,MFG_ID#1769,2016-09-15 01:02:36.887718,MFG_ID#1769,2016-09-27 01:02:36.887718,2016-09-29 01:02:36.887718,134477,106463,28014,92
FC#57164,2020-12-14 00:28:36.887728,843,2020-12-26 00:28:36.887728,542,2021-11-01 06:07:36.887728,MFG_ID#1038,2020-12-03 00:28:36.887728,MFG_ID#1038,2020-12-16 00:28:36.887728,2020-12-17 00:28:36.887728,176178,154698,21480,127
FC#7281,2021-02-14 04:30:36.887737,276,2021-02-25 04:30:36.887737,928,2023-03-04 02:36:36.887737,MFG_ID#1538,2021-03-02 04:30:36.887737,MFG_ID#1538,2021-02-17 04:30:36.887737,2021-02-21 04:30:36.887737,78965,44654,34311,137
FC#55998,2016-09-08 19:30:36.887748,598,2016-09-18 19:30:36.887748,295,2021-05-22 02:23:36.887748,MFG_ID#1882,2016-08-25 19:30:36.887748,MFG_ID#1882,2016-09-12 19:30:36.887748,2016-09-13 19:30:36.887748,94131,62341,31790,83
FC#62093,2022-05-14 01:22:36.887757,676,2022-05-26 01:22:36.887757,553,2023-01-14 23:04:36.887757,MFG_ID#872,2022-04-22 01:22:36.887757,MFG_ID#872,2022-05-18 01:22:36.887757,2022-05-19 01:22:36.887757,192924,166876,26048,136
FC#185530,2016-04-19 22:17:36.887768,334,2016-04-30 22:17:36.887768,925,2021-06-06 15:27:36.887768,MFG_ID#1880,2016-04-19 22:17:36.887768,MFG_ID#1880,2016-04-22 22:17:36.887768,2016-04-26 22:17:36.887768,144108,133036,11072,95
FC#43493,2015-12-21 01:09:36.887778,574,2015-12-30 01:09:36.887778,528,2022-04-28 21:01:36.887778,MFG_ID#1483,2015-12-22 01:09:36.887778,MFG_ID#1483,2015-12-23 01:09:36.887778,2015-12-27 01:09:36.887778,119702,82764,36938,142
FC#1590,2017-06-19 10:20:36.887787,435,2017-06-28 10:20:36.887787,952,2024-11-12 18:00:36.887787,MFG_ID#1787,2017-06-21 10:20:36.887787,MFG_ID#1787,2017-06-21 10:20:36.887787,2017-06-24 10:20:36.887787,102578,96791,5787,104
FC#133445,2023-01-01 22:30:36.887797,390,2023-01-10 22:30:36.887797,492,2021-03-14 18:51:36.887797,MFG_ID#1746,2023-01-05 22:30:36.887797,MFG_ID#1746,2023-01-05 22:30:36.887797,2023-01-07 22:30:36.887797,185148,179866,5282,78
FC#27132,2016-03-25 03:10:36.887807,17,2016-04-04 03:10:36.887807,703,2021-09-03 12:55:36.887807,MFG_ID#1902,2016-03-28 03:10:36.887807,MFG_ID#1902,2016-03-28 03:10:36.887807,2016-03-30 03:10:36.887807,90173,40395,49778,57
FC#81524,2015-10-25 20:48:36.887817,484,2015-11-04 20:48:36.887817,12,2021-03-18 11:43:36.887817,MFG_ID#687,2015-10-25 20:48:36.887817,MFG_ID#687,2015-10-28 20:48:36.887817,2015-11-01 20:48:36.887817,76578,46334,30244,123
FC#149274,2016-06-02 09:56:36.887827,237,2016-06-09 09:56:36.887827,834,2022-05-02 07:28:36.887827,MFG_ID#1228,2016-05-19 09:56:36.887827,MFG_ID#1228,2016-06-04 09:56:36.887827,2016-06-07 09:56:36.887827,95326,58461,36865,149
FC#6389,2021-09-08 20:32:36.887837,114,2021-09-20 20:32:36.887837,249,2024-05-26 16:26:36.887837,MFG_ID#518,2021-08-23 20:32:36.887837,MFG_ID#518,2021-09-10 20:32:36.887837,2021-09-11 20:32:36.887837,102024,77414,24610,92
FC#155227,2019-02-17 02:48:36.887850,626,2019-02-28 02:48:36.887850,243,2023-05-14 04:14:36.887850,MFG_ID#994,2019-02-16 02:48:36.887850,MFG_ID#994,2019-02-19 02:48:36.887850,2019-02-20 02:48:36.887850,141168,101650,39518,79
FC#159233,2023-06-20 03:17:36.887860,884,2023-06-29 03:17:36.887860,811,2025-01-10 15:32:36.887860,MFG_ID#1409,2023-06-17 03:17:36.887860,MFG_ID#1409,2023-06-24 03:17:36.887860,2023-06-28 03:17:36.887860,77978,70243,7735,89
FC#54008,2024-10-19 08:29:36.887870,82,2024-10-31 08:29:36.887870,966,2022-11-18 05:34:36.887870,MFG_ID#999,2024-10-11 08:29:36.887870,MFG_ID#999,2024-10-21 08:29:36.887870,2024-10-22 08:29:36.887870,127768,122720,5048,140
FC#36196,2020-10-28 17:30:36.887880,876,2020-11-06 17:30:36.887880,79,2021-11-20 07:57:36.887880,MFG_ID#1428,2020-10-08 17:30:36.887880,MFG_ID#1428,2020-10-31 17:30:36.887880,2020-11-03 17:30:36.887880,114551,73410,41141,122
FC#61390,2022-08-18 12:57:36.887890,324,2022-08-27 12:57:36.887890,808,2023-10-22 01:06:36.887890,MFG_ID#505,2022-08-14 12:57:36.887890,MFG_ID#505,2022-08-21 12:57:36.887890,2022-08-23 12:57:36.887890,122611,104253,18358,81
FC#42765,2021-04-29 06:39:36.887899,656,2021-05-09 06:39:36.887899,294,2021-08-01 05:00:36.887899,MFG_ID#1618,2021-04-10 06:39:36.887899,MFG_ID#1618,2021-05-01 06:39:36.887899,2021-05-05 06:39:36.887899,108034,60144,47890,121
